NS_SA_ID,4E_SECOND_SELECT ,6E_CONNAIT_ECOL_OFFRE_7E
193391,,
193389,,
193387,,
193385,,
180473,,
180474,,
180475,,
223082,,
185603,,
185604,,
185606,,
194947,,
186686,,
186687,,
186688,,
232523,,
232524,,
232525,,
179883,,
179884,,
179885,,
179886,,
179887,,
196652,,
179911,,
179912,,
179913,,
179914,,
224820,,
233968,,
523,,
193426,,
231771,,
179840,,
179841,,
2102,,
2103,,
2104,,
2105,,
2106,,
193422,,
229684,,
180057,,
180058,,
180059,,
180060,,
180118,,
180119,,
180120,,
180121,,
230707,,
885,,
196875,,
218016,,
180100,,
180101,,
180102,,
180103,,
230709,,
180135,,
180136,,
180138,,
180139,,
208781,,
228290,,
231937,,
180155,,
180156,,
180157,,
180158,,
180159,,
180440,,
180441,,
180442,,
180443,,
180444,,
180172,,
180173,,
180174,,
180175,,
180176,,
180351,,
180352,,
180353,,
180354,,
180355,,
180396,,
180398,,
180399,,
180400,,
193432,,
180457,,
180458,,
180459,,
180460,,
180461,,
180323,,
180324,,
180325,,
122,,
123,,
193697,,
196185,,
1520,,
1522,,
215784,,
180370,,
180371,,
180372,,
180303,,
180304,,
180305,,
223458,,
223459,,
224494,,
180526,,
180527,,
180528,,
180529,,
180530,,
179995,,
179996,,
2123,,
2124,,
2125,,
191430,,
215786,,
219824,,
180546,,
180547,,
180579,,
180581,,
180582,,
180583,,
193435,,
181365,,
181366,,
181367,,
181368,,
552,,
553,,
215788,,
2143,,
2144,,
215790,,
231218,,
180614,,
180615,,
180616,,
180617,,
180618,,
180630,,
180632,,
180633,,
193436,,
180644,,
180645,,
180646,,
180647,,
180648,,
614,,
615,,
616,,
215792,,
180755,,
180756,,
180757,,
180758,,
180759,,
180771,,
180772,,
180773,,
180774,,
180944,,
180945,,
191476,,
180664,,
180665,,
180666,,
180667,,
180668,,
180681,,
180682,,
180683,,
180684,,
180685,,
229980,,
180831,,
180832,,
180833,,
2714,,
2715,,
2716,,
215794,,
180997,,
180998,,
180999,,
181000,,
180980,,
180982,,
180983,,
180984,,
193437,,
196640,,
2167,,
2168,,
2169,,
2170,,
215796,,
181027,,
181028,,
181029,,
229725,,
2184,,
2185,,
2186,,
215798,,
223996,,
181038,,
181039,,
192904,,
2215,,
215800,,
220002,,
181111,,
181112,,
181113,,
181136,,
181138,,
181139,,
181140,,
181141,,
181174,,
181177,,
181178,,
181154,,
181155,,
181156,,
587,,
588,,
589,,
215802,,
181199,,
181200,,
181201,,
181202,,
181203,,
181215,,
181216,,
181217,,
181218,,
233863,,
181263,,
181264,,
231424,,
181309,,
181310,,
181311,,
181313,,
180868,,
180869,,
180870,,
181287,,
181289,,
181290,,
181291,,
181292,,
193440,,
231433,,
799,,
800,,
801,,
215774,,
181418,,
181419,,
181420,,
181421,,
181423,,
195967,,
181436,,
181438,,
181439,,
181440,,
181441,,
181442,,
193442,,
181456,,
181458,,
181459,,
181460,,
181461,,
181462,,
193444,,
2591,,
2593,,
2594,,
194827,,
197456,,
215776,,
227385,,
232270,,
181379,,
181380,,
181487,,
181488,,
181489,,
231859,,
231860,,
181500,,
181502,,
181503,,
181504,,
181505,,
193446,,
181518,,
181519,,
181520,,
181521,,
1158,,
1159,,
1160,,
194626,,
215804,,
181547,,
181548,,
181549,,
181550,,
230041,,
181589,,
181590,,
181591,,
181592,,
181593,,
181594,,
181531,,
181532,,
181533,,
181534,,
181535,,
181572,,
181573,,
181574,,
2828,,
2829,,
2830,,
2831,,
209802,,
181617,,
181618,,
181619,,
181620,,
196910,,
181644,,
181645,,
181646,,
181647,,
181648,,
2844,,
2845,,
2847,,
215807,,
215808,,
181710,,
181711,,
181713,,
181714,,
181715,,
181716,,
181717,,
181718,,
193448,,
181734,,
181735,,
181736,,
181737,,
196935,,
181794,,
181795,,
181797,,
181798,,
193450,,
2898,,
2899,,
197433,,
215606,,
215607,,
230786,,
181856,,
181857,,
181859,,
181860,,
181861,,
181862,,
193453,,
181876,,
181877,,
181878,,
181879,,
181881,,
231958,,
232076,,
2570,,
2571,,
2572,,
2573,,
2574,,
191444,,
215811,,
215812,,
182066,,
182068,,
182069,,
182070,,
182071,,
196513,,
228945,,
182095,,
182096,,
182097,,
182098,,
182099,,
182100,,
181983,,
181984,,
181986,,
181987,,
196531,,
229305,,
229306,,
229309,,
229310,,
1078,,
1079,,
1080,,
1081,,
195497,,
195498,,
197065,,
218154,,
181841,,
181842,,
181843,,
181844,,
181845,,
182214,,
182215,,
182216,,
182217,,
182218,,
182219,,
182220,,
182221,,
182199,,
182200,,
182201,,
182202,,
232453,,
2959,,
2960,,
2961,,
2962,,
192825,,
196186,,
223160,,
223197,,
224132,,
182310,,
182311,,
182312,,
182313,,
182314,,
182315,,
182316,,
195731,,
182269,,
182270,,
182271,,
182272,,
182440,,
182441,,
182443,,
182444,,
182445,,
193355,,
193456,,
182459,,
182460,,
182461,,
182462,,
182471,,
182472,,
182474,,
182475,,
182476,,
182477,,
182521,,
182522,,
182523,,
2938,,
2939,,
2940,,
196187,,
196188,,
218155,,
229815,,
182118,,
182119,,
182120,,
182121,,
182122,,
182123,,
182135,,
182136,,
182137,,
182138,,
182139,,
182140,,
182141,,
182142,,
182143,,
1501,,
1502,,
1503,,
1504,,
196189,,
196190,,
182657,,
182659,,
182660,,
182661,,
182662,,
193458,,
196761,,
218997,,
218998,,
2981,,
2982,,
2985,,
215817,,
215818,,
231528,,
232625,,
233398,,
355,,
356,,
357,,
358,,
359,,
196191,,
196192,,
1312,,
1313,,
1314,,
1315,,
209816,,
209817,,
209818,,
227612,,
229621,,
232628,,
232760,,
183064,,
183065,,
183066,,
183067,,
183068,,
183069,,
229686,,
183113,,
183114,,
183116,,
183117,,
183118,,
183119,,
193459,,
197206,,
224057,,
183138,,
183139,,
183140,,
183141,,
183142,,
183143,,
183024,,
183025,,
183027,,
183028,,
183029,,
227549,,
229196,,
183224,,
183225,,
183226,,
183227,,
183228,,
3102,,
3103,,
215835,,
215836,,
218168,,
224077,,
182811,,
182812,,
182814,,
182815,,
182816,,
182817,,
182818,,
182819,,
193463,,
182851,,
182852,,
182853,,
182854,,
182856,,
182857,,
182858,,
3126,,
3127,,
215839,,
215840,,
231151,,
231158,,
182871,,
182872,,
182873,,
182874,,
2797,,
2798,,
2799,,
209824,,
215847,,
215848,,
231211,,
232827,,
232828,,
232829,,
232830,,
2533,,
2534,,
2535,,
2536,,
215856,,
215857,,
232643,,
233482,,
1337,,
1338,,
1339,,
1340,,
215863,,
215864,,
3015,,
3016,,
3018,,
215869,,
215870,,
231516,,
3041,,
3042,,
190443,,
196193,,
196194,,
204507,,
183419,,
183420,,
183421,,
183422,,
183423,,
183424,,
183450,,
183451,,
183452,,
183453,,
183454,,
183396,,
183397,,
183399,,
183400,,
183401,,
193464,,
1455,,
1456,,
1457,,
204517,,
215879,,
215880,,
230897,,
232837,,
233549,,
233651,,
183466,,
183467,,
183468,,
183469,,
183470,,
183471,,
3070,,
3071,,
3072,,
204522,,
215891,,
215892,,
183563,,
183564,,
183565,,
183566,,
183567,,
183568,,
183569,,
183584,,
183585,,
183586,,
183587,,
183588,,
183589,,
196741,,
3169,,
3170,,
3171,,
3172,,
3173,,
215903,,
215904,,
232654,,
183660,,
183661,,
183662,,
183663,,
183664,,
183665,,
3188,,
3189,,
3190,,
3191,,
196195,,
196196,,
183715,,
183716,,
183717,,
183718,,
954,,
955,,
956,,
957,,
193423,,
193424,,
1581,,
1582,,
1583,,
1584,,
1585,,
191356,,
196197,,
196198,,
183766,,
183767,,
183768,,
183769,,
183770,,
183771,,
232555,,
232556,,
183884,,
183885,,
183886,,
183887,,
183888,,
183889,,
183890,,
183904,,
183905,,
183906,,
