HAND_ID,ACTE_OBJ_ID,ACTE_BRA,ACTE_NOM,ACTE_PER,UNIE_OBJ_ID
1,19173,1,MATHEMATIQUE-NOTIONS GENERALES,60,11077
2,19173,1,MATHEMATIQUE-NOTIONS GENERALES,60,11078
3,19174,1,MATHEMATIQUES,50,11079
4,19174,1,MATHEMATIQUES,50,11080
5,19175,2,AUTONOMIE,10,11079
6,19175,2,AUTONOMIE,10,36055
7,19175,2,AUTONOMIE,10,32700
8,19175,2,AUTONOMIE,10,36039
9,19175,2,AUTONOMIE,10,35977
10,19175,2,AUTONOMIE,10,35973
11,19175,2,AUTONOMIE,10,35972
12,19175,2,AUTONOMIE,10,35971
13,19175,2,AUTONOMIE,10,35970
14,19175,2,AUTONOMIE,10,35969
15,19175,2,AUTONOMIE,10,35968
16,19175,2,AUTONOMIE,10,35967
17,19175,2,AUTONOMIE,10,35966
18,19175,2,AUTONOMIE,10,35148
19,19175,2,AUTONOMIE,10,34473
20,19175,2,AUTONOMIE,10,34472
21,19175,2,AUTONOMIE,10,34465
22,19175,2,AUTONOMIE,10,34412
23,19175,2,AUTONOMIE,10,34385
24,19175,2,AUTONOMIE,10,34377
25,19175,2,AUTONOMIE,10,34362
26,19175,2,AUTONOMIE,10,34361
27,19175,2,AUTONOMIE,10,34360
28,19175,2,AUTONOMIE,10,34358
29,19175,2,AUTONOMIE,10,34357
30,19175,2,AUTONOMIE,10,34355
31,19175,2,AUTONOMIE,10,34343
32,19175,2,AUTONOMIE,10,33494
33,19175,2,AUTONOMIE,10,35140
34,19175,2,AUTONOMIE,10,35106
35,19175,2,AUTONOMIE,10,35063
36,19175,2,AUTONOMIE,10,19130
37,19175,2,AUTONOMIE,10,19084
38,19175,2,AUTONOMIE,10,19043
39,19175,2,AUTONOMIE,10,18968
40,19175,2,AUTONOMIE,10,18967
41,19175,2,AUTONOMIE,10,18797
42,19175,2,AUTONOMIE,10,18795
43,19175,2,AUTONOMIE,10,18766
44,19175,2,AUTONOMIE,10,18764
45,19175,2,AUTONOMIE,10,18761
46,19175,2,AUTONOMIE,10,17821
47,19175,2,AUTONOMIE,10,14550
48,19175,2,AUTONOMIE,10,14544
49,19175,2,AUTONOMIE,10,14479
50,19175,2,AUTONOMIE,10,14460
51,19175,2,AUTONOMIE,10,14428
52,19175,2,AUTONOMIE,10,14404
53,19175,2,AUTONOMIE,10,14400
54,19175,2,AUTONOMIE,10,14257
55,19175,2,AUTONOMIE,10,14210
56,19175,2,AUTONOMIE,10,14209
57,19175,2,AUTONOMIE,10,14197
58,19175,2,AUTONOMIE,10,14196
59,19175,2,AUTONOMIE,10,14195
60,19175,2,AUTONOMIE,10,14142
61,19175,2,AUTONOMIE,10,14114
62,19175,2,AUTONOMIE,10,14102
63,19175,2,AUTONOMIE,10,14101
64,19175,2,AUTONOMIE,10,14081
