"UNIE_OBJ_ID","UNIE_CODE","UNIE_NOM_LG","UNIE_ECTS","UNIE_DIPL","UNIE_DFER","NIFO_OBJ_ID","NIVE_OBJ_ID"
11076,"011001U11CA",MATHEMATIQUES ORIENTEES,"0",ATTESTATION DE REUSSITE,"2020-12-31",9978,10135
11077,"011001U11X1",MATHEMATIQUE ORIENTEE(CONVENTION),"0",ATTESTATION DE REUSSITE,,9978,10135
11078,"011001U11Z1",MATHEMATIQUE ORIENTEE-(CONVENTION),"0",ATTESTATION DE REUSSITE,,9978,10135
11079,"011011U11C1",MATHEMATIQUES - NOTIONS GENERALES,"0",ATTESTATION DE REUSSITE,,9978,10135
11080,"011011U11E1",MATHEMATIQUES - NOTIONS GENERALES,"0",ATTESTATION DE REUSSITE,,9978,10135
11081,"011099U11W1",MATHEMATIQUES - NOTIONS GENERALES (CONVENTION),"0",ATTESTATION DE REUSSITE,,9978,10135
11082,"011101U11R1",MATHEMATIQUES NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9978,10135
11083,"011102U11R1",MATHEMATIQUES NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9978,10135
11084,"011103U11C1",BASES DE MATHEMATIQUES POUR L'ENSEIGNEMENT SECONDAIRE INFERIEUR.,"0",ATTESTATION DE REUSSITE,,9978,10135
11085,"011104U11F1",MATHEMATIQUES : COMPETENCES SPECIFIQUES DE L'ENSEIGNEMENT SECONDAIRE INFERIEUR - NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9978,10135
11086,"011105U11F1",MATHEMATIQUES : COMPETENCES SPECIFIQUES DE L'ENSEIGNEMENT SECONDAIRE INFERIEUR - NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9978,10135
11087,"011106U11D1",FORMATION GENERALE : MATHEMATIQUES APPLIQUEES,"0",ATTESTATION DE REUSSITE,,9978,10135
11088,"011120U11D1",C2D - MATHEMATIQUES : NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9978,10135
11089,"011201U21D1",ESS - MATHEMATIQUES 01-3,"0",ATTESTATION DE REUSSITE,,9979,10137
11090,"011201U21D2",CESS : MATHEMATIQUES - NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9979,10137
11091,"011201U21R1",MATHEMATIQUES - NIVEAU 3,"0",ATTESTATION DE REUSSITE,,9979,10137
11092,"011202U11D1",ESI - MATHEMATIQUES - 01 - 2,"0",ATTESTATION DE REUSSITE,,9978,10135
11093,"011202U21D2",CESS : MATHEMATIQUES - NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9979,10137
11094,"011202U21R1",MATHEMATIQUES - NIVEAU 4,"0",ATTESTATION DE REUSSITE,,9979,10137
11095,"011203U21D1",COMPLEMENT DE FORMATION GENERALE : MATHEMATIQUES APPLIQUEES,"0",ATTESTATION DE REUSSITE,,9979,10137
11096,"011210U21F1",PROPEDEUTIQUE MATHEMATIQUES,"0",ATTESTATION DE REUSSITE,,9979,10137
11097,"011212U21Y2",PROPEDEUTIQUE MATHEMATIQUES (CONVENTION),"0",ATTESTATION DE REUSSITE,,9979,10137
