"NS_OBJ_ID_OBS","CO_OBS","TE_INTITULE_OBS"
971,"4000",EDUCATION PHYSIQUE
972,"2309",LANGUE MODERNE
1071,"6201",BIOLOGIE
1096,"6301",CHIMIE
1208,"1297",DESSIN SCIENTIFIQUE
1214,"1303",DESSIN SCIENTIFIQUE OU DESCRIPTIVE
1269,"1379",EDUCATION ARTISTIQUE
1271,"1384",EDUCATION ARTISTIQUE : ARTS D'EXPRESSION
1272,"1385",EDUCATION ARTISTIQUE : ARTS PLASTIQUES
1273,"1387",EDUCATION ARTISTIQUE : EDUCATION MUSICALE
1274,"1388",EDUCATION ARTISTIQUE : EDUCATION PLASTIQUE
1278,"1390",EDUCATION AUX MEDIAS
1297,"4016",EDUCATION PHYSIQUE A FILLES
1298,"4015",EDUCATION PHYSIQUE A GARCONS
1299,"4018",EDUCATION PHYSIQUE B FILLES
1300,"4017",EDUCATION PHYSIQUE B GARCONS
1302,"4002",EDUCATION PHYSIQUE FILLES
1303,"4001",EDUCATION PHYSIQUE GARCONS
1314,"1453",EDUCATION TECHNIQUE ET TECHNOLOGIQUE
1377,"1562",EXPRESSION MUSICALE
1379,"1565",EXPRESSION PLASTIQUE
1388,"5202",FORMATION HISTORIQUE
1419,"5101",GEOGRAPHIE
1424,"1611",GEOMETRIE DESCRIPTIVE
1450,"2926",GREC
1455,"5201",HISTOIRE
1456,"1655",HISTOIRE DE L'ART
1458,"1658",HISTOIRE DE L'ART ET INFOGRAPHIE
1490,"1708",INFORMATIQUE
1528,"1976",LABORATOIRE D'INFORMATIQUE
1571,"2955",LANGUE DES SIGNES
1582,"2006",LANGUE MODERNE I ALLEMAND
1583,"2007",LANGUE MODERNE I ANGLAIS
1584,"2008",LANGUE MODERNE I NEERLANDAIS
1586,"2119",LANGUE MODERNE II ALLEMAND
1587,"2120",LANGUE MODERNE II ANGLAIS
1588,"2125",LANGUE MODERNE II ARABE
1589,"2123",LANGUE MODERNE II ESPAGNOL
1590,"2122",LANGUE MODERNE II ITALIEN
1591,"2121",LANGUE MODERNE II NEERLANDAIS
1593,"2209",LANGUE MODERNE III ALLEMAND
1594,"2210",LANGUE MODERNE III ANGLAIS
1595,"2215",LANGUE MODERNE III ARABE
1596,"2213",LANGUE MODERNE III ESPAGNOL
1597,"2212",LANGUE MODERNE III ITALIEN
1598,"2211",LANGUE MODERNE III NEERLANDAIS
1601,"2214",LANGUE MODERNE III RUSSE
1607,"2814",LATIN
1629,"3101",MATHEMATIQUE
1708,"2509",PERFECTIONNEMENT
1723,"6401",PHYSIQUE
1799,"2618",RENFORCEMENT DEBUTANT
1815,"6101",SCIENCES
1822,"2652",SCIENCES ECONOMIQUES
1826,"2657",SCIENCES ET LABORATOIRE
1831,"2664",SCIENCES SOCIALES
2273,"2126",LANGUE MODERNE II CHINOIS
2328,"2216",LANGUE MODERNE III CHINOIS
2441,"3926",GREC 2H
2493,"6101",SCIENCES
2551,"4023",EDUCATION PHYSIQUE A MIXTE
2552,"4024",EDUCATION PHYSIQUE B MIXTE
2726,"1384",EDUCATION ARTISTIQUE : ARTS D'EXPRESSION
2727,"5015",EXPRESSION THEATRALE
2728,"1379",EDUCATION ARTISTIQUE
3371,"4000",EDUCATION PHYSIQUE
3752,"4000",EDUCATION PHYSIQUE
8611,"1655",HISTOIRE DE L'ART
8726,"1385",EDUCATION ARTISTIQUE (ARTS PLASTIQUES)
