"ROWNUMBER","CPMS_NS_ETAB_ID","CPMS_NOM","CPMS_RUE","CPMS_NUMERO","CPMS_CODEPOSTAL","CPMS_LOCALITE","CPMS_TELEPHONE","CPMS_FAX","CPMS_EMAIL","NS_ETAB_ID","TE_NOM_ETAB"
1,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,78,Ecole maternelle des Pagodes
2,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,81,Ecole maternelle de Heembeek
3,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,89,Ecole primaire de Heembeek
4,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,91,Ecole fondamentale de Haren
5,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,96,Ecole primaire des Pagodes
6,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,99,Ecole primaire des Eburons
7,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,101,Ecole fondamentale Emile Jacqmain
8,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,104,Ecole primaire Adolphe Max
9,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,123,ATHENEE ADOLPHE MAX
10,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,128,Lycée Emile Jacqmain
11,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,134,ATHENEE DES PAGODES
12,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,184,Ecole maternelle Adolphe Max
13,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,3151,Ecole maternelle des Eburons
14,4821,Centre PMS communal de Bruxelles 4,Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 10","02-548 05 18",ec004821@adm.cfwb.be,95568,"École fondamentale ""A la Croisée des Chemins"""
15,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,77,Ecole maternelle Catteau - Aurore
16,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,94,Ecole primaire Charles Buls
17,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,103,Ecole primaire Henriette Dachsbeck
18,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,105,Ecole fondamentale Emile André
19,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,106,Ecole fondamentale Baron Louis Steens
20,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,126,ATHENEE ROBERT CATTEAU
21,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,130,LYCEE HENRIETTE DACHSBECK
22,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,142,INSTITUT DIDEROT
23,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,187,Ecole maternelle Henriette Dachsbeck
24,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,302,Ecole primaire Catteau - Aurore
