"NS_ETAB_ID","CO_ETUDE_ID","TE_LIBL_CRT","CO_UNI_ID","DT_DEBUT","DT_FIN"
29,DASPA,DASPA                    ,"112",2020-09-01,2020-08-31
29,GT11C,"1 D1 1C                  ","112",2014-09-01,9999-12-31
29,GT11D,"1 D1 1D                  ","112",2014-09-01,9999-12-31
29,GT12C,"1 D1 2C                  ","112",2014-09-01,9999-12-31
29,GT12S,"1 D1 2S                  ","112",2014-09-01,9999-12-31
29,GT2D ,"1 D1 2D                  ","112",2014-09-01,9999-12-31
29,GT21 ,"1 D2 3 G                 ","112",2018-09-01,9999-12-31
29,GT22 ,"1 D2 4 G                 ","112",2018-09-01,9999-12-31
29,GT31 ,"1 D3 5 G                 ","112",2018-09-01,9999-12-31
29,GT32 ,"1 D3 6 G                 ","112",2018-09-01,9999-12-31
29,GT33L,"1 D3 7L G                ","112",2014-09-01,9999-12-31
29,GT33M,"1 D3 7M G                ","112",2014-09-01,9999-12-31
29,GT33P,"1 D3 7PES                ","112",2014-09-01,9999-12-31
29,GT33S,"1 D3 7S G                ","112",2014-09-01,9999-12-31
29,TQ3C ,"1 D3 3C TQ               ","112",2014-09-01,9999-12-31
29,TQ31 ,"1 D3 5 TQ                ","112",2018-09-01,9999-12-31
29,TQ32 ,"1 D3 6 TQ                ","112",2018-09-01,9999-12-31
29,TQ33 ,"1 D3 7 TQ                ","112",2014-09-01,9999-12-31
29,TT21 ,"1 D2 3 TT                ","112",2018-09-01,9999-12-31
29,TT22 ,"1 D2 4 TT                ","112",2018-09-01,9999-12-31
29,TT22R,"1 D2 4R TT               ","112",2014-09-01,9999-12-31
29,TT31 ,"1 D3 5 TT                ","112",2018-09-01,9999-12-31
29,TT32 ,"1 D3 6 TT                ","112",2018-09-01,9999-12-31
30,GT11C,"1 D1 1C                  ","112",2014-09-01,9999-12-31
30,GT11D,"1 D1 1D                  ","112",2014-09-01,9999-12-31
30,GT12C,"1 D1 2C                  ","112",2014-09-01,9999-12-31
30,GT12S,"1 D1 2S                  ","112",2014-09-01,9999-12-31
30,GT2D ,"1 D1 2D                  ","112",2014-09-01,9999-12-31
30,GT21 ,"1 D2 3 G                 ","112",2014-09-01,9999-12-31
30,GT22 ,"1 D2 4 G                 ","112",2014-09-01,9999-12-31
30,GT31 ,"1 D3 5 G                 ","112",2014-09-01,9999-12-31
30,GT32 ,"1 D3 6 G                 ","112",2014-09-01,9999-12-31
30,GT33L,"1 D3 7L G                ","112",2014-09-01,9999-12-31
30,GT33M,"1 D3 7M G                ","112",2014-09-01,9999-12-31
30,GT33P,"1 D3 7PES                ","112",2014-09-01,9999-12-31
30,GT33S,"1 D3 7S G                ","112",2014-09-01,9999-12-31
30,PC4  ,"1 DQ 4 P                 ","112",2018-09-01,9999-12-31
30,PC5  ,"1 DQ 5 P                 ","112",2019-09-01,9999-12-31
30,PC6  ,"1 DQ 6 P                 ","112",2020-09-01,9999-12-31
30,PQI34,R D3 P 45                ,"119",2014-09-01,9999-12-31
30,PQSC ,R D3 3 C P               ,"119",2014-09-01,9999-12-31
30,PQS1 ,R D3 5 P                 ,"119",2014-09-01,9999-12-31
30,PQS2 ,R D3 6 P                 ,"119",2014-09-01,9999-12-31
30,PQS3 ,R D3 7B P                ,"119",2014-09-01,9999-12-31
30,PQ2CC,"1 DQ C2D P               ","112",2019-09-01,9999-12-31
30,PQ21 ,"1 D2 3 P                 ","112",2014-09-01,9999-12-31
30,PQ22 ,"1 D2 4 P                 ","112",2014-09-01,9999-12-31
30,PQ3C ,"1 D3 3C P                ","112",2014-09-01,9999-12-31
30,PQ31 ,"1 D3 5 P                 ","112",2014-09-01,9999-12-31
