"NS_FORM_ID","TE_INTITULE","NS_OBJ_FORET_ID","NS_OBJ_TYPDO_ID","NS_OBJ_DIPL_ID","NS_OBJ_CERTI_ID","NS_OBJ_AREPS_ID","NS_OBJ_COMA_ID","NS_OBJ_CYC_ID","NS_OBJ_CERT_ID"
1,Bachelier en philosophie,3696,3419,6673,,,4706,3416,3398
2,Master en philosophie,3696,3419,6674,,,,3417,3399
3,Master en éthique,3696,3419,6675,,,,3417,3399
4,Bachelier en sciences des religions,3696,3419,6676,,,,3416,3398
5,Master en sciences des religions,3696,3419,6677,,,,3417,3399
6,Bachelier en sciences des religions et de la laïcité,3696,3419,6678,,,,3416,3398
7,Master en sciences des religions et de la laïcité,3696,3419,6679,,,,3417,3399
8,Bachelier en sciences religieuses,3696,3419,6680,,,,3416,3398
9,Master en théologie,3696,3419,6681,,,,3417,3399
10,Master en études bibliques,3696,3419,6682,,,,3417,3399
11,"Bachelier en langues et lettres françaises et romanes, orientation générale",3696,3419,6683,,,,3416,3398
12,"Master en langues et lettres françaises et romanes, orientation générale",3696,3419,6684,,,,3417,3399
13,"Master en langues et lettres françaises et romanes, orientation français langue étrangère",3696,3419,6685,,,,3417,3399
14,"Bachelier en langues et lettres modernes, orientation arabes",3696,3419,6686,,,,3416,3398
15,"Master en langues et lettres modernes, orientation arabes",3696,3419,6687,,,,3417,3399
16,"Bachelier en langues et lettres modernes, orientation générale",3696,3419,6688,,,,3416,3398
17,"Master en langues et lettres modernes, orientation générale",3696,3419,6689,,,,3417,3399
18,"Bachelier en langues et lettres modernes, orientation germaniques",3696,3419,6690,,,,3416,3398
19,"Master en langues et lettres modernes, orientation germaniques",3696,3419,6691,,,,3417,3399
20,"Bachelier en langues et lettres modernes, orientation orientales",3696,3419,6692,,,,3416,3398
21,"Master en langues et lettres modernes, orientation orientales",3696,3419,6693,,,,3417,3399
22,"Bachelier en langues et lettres modernes, orientation slaves",3696,3419,6694,,,,3416,3398
23,"Master en langues et lettres modernes, orientation slaves",3696,3419,6695,,,,3417,3399
24,Bachelier en traduction et interprétation,3696,3419,6696,,,,3416,3398
25,Master en interprétation,3696,3419,6697,,,,3417,3399
26,Master en traduction,3696,3419,6698,,,,3417,3399
27,Master en linguistique,3696,3419,6699,,,,3417,3399
28,"Bachelier en langues et lettres anciennes, orientation classiques",3696,3419,6700,,,,3416,3398
29,"Master en langues et lettres anciennes, orientation classiques",3696,3419,6701,,,,3417,3399
30,"Bachelier en langues et lettres anciennes, orientation orientales",3696,3419,6702,,,,3416,3398
31,"Master en langues et lettres anciennes, orientation orientales ",3696,3419,6703,,,,3417,3399
32,Bachelier en langues et lettres anciennes et modernes,3696,3419,6704,,,,3416,3398
33,Master en langues et lettres anciennes et modernes,3696,3419,6705,,,,3417,3399
34,Master de spécialisation en langues et civilisations africaines,3698,3419,6706,,,,3417,3399
35,Master de spécialisation en linguistique appliquée,3698,3419,6707,,,,3417,3399
36,Master de spécialisation en sciences du langage,3698,3419,6708,,,,3417,3399
37,Bachelier en histoire,3696,3419,6709,,,,3416,3398
38,Master en histoire,3696,3419,6710,,,,3417,3399
39,"Bachelier en histoire de l'art et archéologie, orientation générale",3696,3419,6711,,,,3416,3398
40,"Master en histoire de l'art et archéologie, orientation générale ",3696,3419,6712,,,,3417,3399
41,"Master en histoire de l'art et archéologie, orientation archéométrie",3696,3419,6713,,,,3417,3399
42,"Bachelier en histoire de l'art et archéologie, orientation musicologie",3696,3419,6714,,,,3416,3398
43,"Master en histoire de l'art et archéologie, orientation musicologie",3696,3419,6715,,,,3417,3399
44,Master de spécialisation en cultures visuelles,3698,3419,6716,,,,3417,3399
45,Bachelier : bibliothécaire-documentaliste,3696,3419,6717,,,4706,3416,3398
46,Bachelier en communication,3696,3419,6718,,,4706,3416,3398
47,Bachelier en écriture multimédia,3696,3419,6719,,,4706,3416,3398
48,Bachelier de spécialisation en gestion des ressources documentaires multimédia,3698,3419,6720,,,4706,3416,3398
49,Bachelier en communication appliquée,3696,3419,6721,,,4706,3416,3398
50,Master en communication appliquée - animation socioculturelle et éducation permanente,3696,3419,6722,,,4706,3417,3399
51,Master en communication appliquée spécialisée - animation socioculturelle et éducation permanente,3696,3419,6723,,,4706,3417,3399
52,Master en communication appliquée spécialisée - éducation aux médias,3696,3419,6724,,,4706,3417,3399
53,Master en communication appliquée - publicité et communication commerciale,3696,3419,6725,,,4706,3417,3399
54,Master en communication appliquée spécialisée - publicité et communication commerciale,3696,3419,6726,,,4706,3417,3399
55,Master en communication appliquée - relations publiques,3696,3419,6727,,,4706,3417,3399
56,Master en communication appliquée spécialisée - relations publiques,3696,3419,6728,,,4706,3417,3399
57,Master en communication - management d'événements,3696,3419,6729,,,4706,3417,3399
58,Master en presse et information,3696,3419,6730,,,4706,3417,3399
59,Master en presse et information spécialisées,3696,3419,6731,,,4706,3417,3399
60,Bachelier en information et communication,3696,3419,6732,,,,3416,3398
61,Master en information et communication,3696,3419,6733,,,,3417,3399
62,Master en journalisme,3696,3419,6734,,,,3417,3399
63,Master en communication,3696,3419,6735,,,,3417,3399
64,Master en communication multilingue,3696,3419,6736,,,,3417,3399
65,Master en sciences et technologies de l'information et de la communication,3696,3419,6737,,,,3417,3399
66,Master en stratégie et analyse de la communication interactive et collaborative,3696,3419,6738,,,4706,3417,3399
67,Bachelier : assistant social,3696,3419,6739,,,4706,3416,3398
68,Bachelier : conseiller social,3696,3419,6740,,,4706,3416,3398
69,Bachelier en écologie sociale,3696,3419,6741,,,4706,3416,3398
70,Bachelier en gestion des ressources humaines,3696,3419,6742,,,4706,3416,3398
71,Bachelier de spécialisation en gestion du social,3698,3419,6743,,,4706,3416,3398
72,Bachelier de spécialisation en médiation,3698,3419,6744,,,4706,3416,3398
73,Bachelier de spécialisation en sciences et techniques du jeu,3698,3419,6745,,,4706,3416,3398
74,Bachelier de spécialisation en travail psychosocial en santé mentale,3698,3419,6746,,,4706,3416,3398
75,Master en ingénierie et action sociales,3696,3419,6747,,,4706,3417,3399
76,Master en ingénierie de la prévention et de la gestion des conflits,3696,3419,6748,,,4706,3417,3399
77,Master en transitions et innovations sociales,3696,3419,6749,,,4706,3417,3399
78,Master en gestion des ressources humaines,3696,3419,6750,,,,3417,3399
79,Bachelier en sciences humaines et sociales,3696,3419,6751,,,,3416,3398
80,Master en politique économique et sociale,3696,3419,6752,,,,3417,3399
81,"Bachelier en sciences politiques, orientation générale",3696,3419,6753,,,,3416,3398
82,"Master en sciences politiques, orientation générale",3696,3419,6754,,,,3417,3399
83,"Master en sciences politiques, orientation relations internationales",3696,3419,6755,,,,3417,3399
84,Master en études européennes,3696,3419,6756,,,,3417,3399
85,Master en administration publique,3696,3419,6757,,,,3417,3399
86,Bachelier en sociologie et anthropologie,3696,3419,6758,,,,3416,3398
87,Master en sociologie et anthropologie,3696,3419,6759,,,,3417,3399
88,Master en sociologie,3696,3419,6760,,,,3417,3399
89,Master en anthropologie,3696,3419,6761,,,,3417,3399
90,Master en sciences du travail,3696,3419,6762,,,,3417,3399
91,Master en sciences de la population et du développement,3696,3419,6763,,,,3417,3399
92,Master de spécialisation en action humanitaire internationale,3698,3419,6764,,,,3417,3399
93,Master de spécialisation en analyse interdisciplinaire de la construction européenne,3698,3419,6765,,,,3417,3399
94,"Master de spécialisation en développement, environnement et sociétés",3698,3419,6766,,,,3417,3399
95,Master de spécialisation en études de genre,3698,3419,6767,,,,3417,3399
96,Master de spécialisation en méthodes quantitatives en sciences sociales,3698,3419,6768,,,,3417,3399
97,Master de spécialisation en sociologie-anthropologie,3698,3419,6769,,,,3417,3399
98,Bachelier en assurances,3696,3419,6770,,,4702,3416,3398
99,Bachelier en droit,3696,3419,6771,,,4702,3416,3398
100,Bachelier en droit,3696,3419,6772,,,,3416,3398
101,Master en droit,3696,3419,6773,,,,3417,3399
102,Master de spécialisation en droit économique,3698,3419,6774,,,,3417,3399
103,Master de spécialisation en droit européen,3698,3419,6775,,,,3417,3399
103,Master de spécialisation en droit européen,3698,3419,,,,,3417,3399
104,Master de spécialisation en droit de l'environnement et droit public immobilier,3698,3419,6776,,,,3417,3399
105,Master de spécialisation en droit des technologies de l'information et de la communication,3698,3419,6777,,,,3417,3399
106,Master de spécialisation en droit fiscal,3698,3419,6778,,,,3417,3399
107,Master de spécialisation en droit international,3698,3419,6779,,,,3417,3399
108,Master de spécialisation en droit public et administratif,3698,3419,6780,,,,3417,3399
109,Master de spécialisation en droit social,3698,3419,6781,,,,3417,3399
110,Master de spécialisation en droits de l'homme,3698,3419,6782,,,,3417,3399
111,Master de spécialisation en notariat,3698,3419,6783,,,,3417,3399
112,Master en criminologie,3696,3419,6784,,,,3417,3399
113,Bachelier : assistant de direction,3696,3419,6785,,,4702,3416,3398
114,Bachelier en commerce et développement,3696,3419,6786,,,4702,3416,3398
