"NS_HABI_ID","NS_FORM_ID","NS_ETAB_ID_REF","NS_OBJ_MODHO_ID","NS_OBJ_MODLI_ID","NS_OBJ_MODPE_ID"
1,67,5964,"3688","3683","3690"
2,98,5964,"3688","3683","3690"
3,99,5964,"3688","3683","3690"
4,113,5964,"3688","3683","3690"
5,115,5964,"3688","3683","3690"
6,116,5964,"3688","3683","3690"
8,124,5964,"3688","3683","3690"
10,156,5964,"3688","3683","3690"
11,157,5964,"3688","3683","3690"
12,159,5964,"3688","3683","3690"
13,160,5964,"3688","3683","3690"
14,161,5964,"3688","3683","3690"
15,162,5964,"3688","3683","3690"
16,163,5964,"3688","3683","3690"
17,164,5964,"3688","3683","3690"
18,165,5964,"3688","3683","3690"
19,167,5964,"3688","3683","3690"
20,172,5964,"3688","3683","3690"
21,173,5964,"3688","3683","3690"
22,174,5964,"3688","3683","3690"
23,175,5964,"3688","3683","3690"
25,180,5964,"3688","3683","3690"
26,245,5964,"3688","3683","3690"
27,258,5964,"3688","3683","3690"
28,259,5964,"3688","3683","3690"
29,260,5964,"3688","3683","3690"
30,267,5964,"3688","3683","3690"
31,269,5964,"3688","3683","3690"
32,271,5964,"3688","3683","3690"
34,289,5964,"3688","3683","3690"
35,290,5964,"3688","3683","3690"
36,390,5964,"3688","3683","3690"
37,391,5964,"3688","3683","3690"
38,401,5964,"3688","3683","3690"
41,411,5964,"3688","3683","3690"
42,413,5964,"3688","3683","3690"
43,98,95027,"3688","3683","3690"
44,113,95027,"3688","3683","3690"
45,116,95027,"3688","3683","3690"
46,125,95027,"3688","3683","3690"
47,155,95027,"3688","3683","3690"
48,174,95027,"3688","3683","3690"
49,175,95027,"3688","3683","3690"
50,183,95027,"3688","3683","3690"
51,389,95027,"3688","3683;3685","3690"
52,392,95027,"3688","3683","3690"
54,113,85025,"3688","3683","3690"
55,116,85025,"3688","3683","3690"
56,156,85025,"3688","3683","3690"
57,157,85025,"3688","3683","3690"
58,158,85025,"3688","3683","3690"
59,159,85025,"3688","3683","3690"
60,161,85025,"3688","3683","3690"
61,162,85025,"3688","3683","3690"
62,163,85025,"3688","3683","3690"
63,164,85025,"3688","3683","3690"
64,165,85025,"3688","3683","3690"
65,173,85025,"3688","3683","3690"
66,174,85025,"3688","3683","3690"
67,175,85025,"3688","3683","3690"
68,176,85025,"3688","3683","3690"
69,258,85025,"3688","3683","3690"
70,259,85025,"3688","3683","3690"
71,269,85025,"3688","3683","3690"
72,271,85025,"3688","3683","3690"
73,281,85025,"3688","3683","3690"
74,282,85025,"3688","3683","3690"
75,289,85025,"3688","3683","3690"
76,376,85025,"3688","3683","3690"
77,377,85025,"3688","3683","3690"
78,379,85025,"3688","3683","3690"
79,398,85025,"3688","3683","3691"
80,401,85025,"3688","3683","3690"
81,413,85025,"3688","3683","3690"
83,99,21409,"3688","3683","3690"
84,113,21409,"3688","3683","3690"
85,116,21409,"3688","3683","3690"
86,120,21409,"3688","3683","3690"
87,123,21409,"3688","3683","3690"
88,124,21409,"3688","3683","3690"
89,125,21409,"3688","3683","3690"
90,128,21409,"3688","3683","3690"
91,129,21409,"3688","3683","3690"
92,173,21409,"3688","3683","3690"
93,175,21409,"3688","3683","3690"
94,244,21409,"3688","3683","3690"
95,344,21409,"3688","3683","3690"
96,383,21409,"3688","3683","3690"
97,393,21409,"3688","3683","3690"
98,401,21409,"3688","3683","3690"
99,404,21409,"3688","3683","3690"
100,405,21409,"3688","3683","3690"
101,443,21409,"3688","3683","3690"
102,458,1694,"3688","3683","3690"
103,460,1694,"3688","3683","3690"
104,464,1694,"3688","3683","3690"
105,465,1694,"3688","3683","3690"
106,467,1694,"3688","3683","3690"
107,468,1694,"3688","3683","3690"
108,113,5964,"3688","3683;3686","3690"
109,1,5224,"3688","3683","3690"
110,2,5224,"3688","3683;3685;3686","3690"
112,3,5224,"3688","3683;3685","3690"
113,4,5224,"3688","3683","3690"
114,5,5224,"3688","3683","3690"
115,8,5224,"3688","3683","3690"
116,9,5224,"3688","3683","3690"
117,713,5224,"3688","3683","3690"
118,10,5224,"3688","3683","3690"
119,11,5224,"3688","3683","3690"
120,12,5224,"3688","3683","3690"
121,714,5224,"3688","3683","3690"
122,13,5224,"3688","3683","3690"
123,16,5224,"3688","3683","3690"
124,17,5224,"3688","3683","3690"
125,716,5224,"3688","3683","3690"
126,18,5224,"3688","3683","3690"
127,19,5224,"3688","3683","3690"
128,717,5224,"3688","3683","3690"
129,25,5224,"3688","3683","3690"
130,26,5224,"3688","3683","3690"
131,27,5224,"3688","3683","3690"
132,28,5224,"3688","3683","3690"
133,29,5224,"3688","3683","3690"
134,720,5224,"3688","3683","3690"
135,30,5224,"3688","3683","3690"
136,31,5224,"3688","3683","3690"
137,721,5224,"3688","3683","3690"
138,32,5224,"3688","3683","3690"
139,33,5224,"3688","3683","3690"
140,722,5224,"3688","3683","3690"
141,37,5224,"3688","3683","3690"
142,38,5224,"3688","3683","3690"
143,723,5224,"3688","3683","3690"
144,39,5224,"3688","3683","3690"
145,40,5224,"3688","3683;3685","3690"
146,724,5224,"3688","3683","3690"
147,42,5224,"3688","3683","3690"
148,43,5224,"3688","3683","3690"
149,725,5224,"3688","3683","3690"
150,44,5224,"3688","3683;3685","3690"
151,60,5224,"3688","3683","3690"
152,61,5224,"3688","3683","3690"
153,62,5224,"3688","3683;3684;3685","3690"
154,63,5224,"3688","3683;3684;3685","3690"
155,63,5224,"3688","3683","3690"
156,63,5224,"3689","3683;3685","3690"
157,64,5224,"3688","3683;3684;3685;3686","3690"
158,65,5224,"3688","3683","3690"
159,78,5224,"3688","3683","3690"
160,79,5224,"3688","3683","3690"
161,80,5224,"3689","3683","3690"
162,81,5224,"3688","3683","3690"
163,82,5224,"3688","3683;3685","3690"
164,82,5224,"3689","3683","3690"
165,726,5224,"3688","3683;3685","3690"
166,726,5224,"3688","3683","3690"
167,83,5224,"3688","3683;3685","3690"
168,85,5224,"3688","3683;3685","3690"
169,85,5224,"3689","3683","3690"
170,86,5224,"3688","3683","3690"
171,87,5224,"3688","3683","3690"
172,88,5224,"3688","3683","3690"
173,89,5224,"3688","3683","3690"
174,90,5224,"3689","3683","3690"
175,727,5224,"3689","3683","3690"
176,91,5224,"3688","3683","3690"
177,92,5224,"3688","3683;3685","3690"
178,100,5224,"3688","3683;3684;3685","3690"
179,101,5224,"3688","3683;3685","3690"
181,103,5224,"3688","3683;3685","3690"
182,106,5224,"3688","3683;3685","3690"
183,107,5224,"3688","3683;3685","3690"
184,111,5224,"3730","3683","3690"
185,112,5224,"3730","3683","3690"
186,141,5224,"3688","3683;3685","3690"
187,141,5224,"3688","3683","3690"
188,142,5224,"3688","3685","3690"
189,143,5224,"3688","3683;3685","3690"
190,146,5224,"3688","3685","3690"
191,147,5224,"3688","3683","3690"
192,148,5224,"3688","3685","3690"
193,148,5224,"3689","3683","3690"
194,729,5224,"3688","3683","3690"
195,729,5224,"3689","3683","3690"
196,149,5224,"3688","3683","3690"
197,185,5224,"3688","3683","3690"
198,186,5224,"3688","3683","3690"
199,187,5224,"3730","3683","3690"
200,188,5224,"3688","3683","3690"
201,189,5224,"3688","3683;3685","3690"
202,190,5224,"3688","3683","3690"
203,191,5224,"3689","3683","3690"
204,194,5224,"3688","3683","3690"
205,195,5224,"3688","3683","3690"
206,196,5224,"3688","3683","3690"
207,197,5224,"3688","3683","3690"
209,199,5224,"3688","3683","3690"
210,200,5224,"3688","3683","3690"
211,201,5224,"3688","3683","3690"
212,202,5224,"3688","3683","3690"
213,203,5224,"3688","3683","3690"
214,204,5224,"3688","3683","3690"
215,205,5224,"3688","3683","3690"
216,207,5224,"3688","3683","3690"
217,208,5224,"3688","3683","3690"
218,209,5224,"3688","3683","3690"
219,210,5224,"3730","3683","3690"
220,211,5224,"3688","3683","3690"
221,212,5224,"3688","3683","3690"
222,213,5224,"3688","3683","3690"
223,214,5224,"3688","3683","3690"
224,215,5224,"3688","3683","3690"
225,217,5224,"3688","3683","3690"
226,218,5224,"3688","3683","3690"
227,220,5224,"3688","3683","3690"
228,221,5224,"3688","3683","3690"
229,222,5224,"3688","3683","3690"
230,223,5224,"3688","3683","3690"
231,224,5224,"3688","3683","3690"
232,226,5224,"3688","3683","3690"
233,227,5224,"3688","3683","3690"
234,228,5224,"3688","3683","3690"
235,229,5224,"3688","3683","3690"
236,230,5224,"3688","3683","3690"
237,231,5224,"3688","3683","3690"
238,232,5224,"3688","3683","3690"
239,233,5224,"3688","3683;3685","3690"
240,239,5224,"3688","3683","3690"
241,240,5224,"3688","3683","3690"
242,241,5224,"3688","3683","3690"
243,242,5224,"3688","3683","3690"
244,243,5224,"3688","3683","3690"
245,248,5224,"3688","3683","3690"
246,249,5224,"3688","3683;3685","3690"
247,250,5224,"3688","3683","3690"
248,251,5224,"3688","3683","3690"
250,255,5224,"3688","3683","3690"
251,274,5224,"3688","3683","3690"
252,283,5224,"3688","3683","3690"
253,284,5224,"3688","3683","3690"
254,285,5224,"3688","3683","3690"
255,286,5224,"3688","3683","3690"
256,287,5224,"3688","3683","3690"
257,298,5224,"3688","3683;3685","3690"
258,299,5224,"3688","3683","3690"
259,300,5224,"3688","3683;3685","3690"
260,302,5224,"3688","3683","3690"
261,303,5224,"3688","3683","3690"
262,304,5224,"3688","3683;3685","3690"
263,733,5224,"3688","3683;3685","3690"
264,306,5224,"3688","3683;3685","3690"
265,307,5224,"3688","3685","3690"
266,308,5224,"3688","3683","3690"
267,309,5224,"3688","3683","3690"
268,310,5224,"3688","3683;3685","3690"
269,311,5224,"3688","3683;3685","3690"
270,312,5224,"3688","3683;3685","3690"
271,735,5224,"3688","3683;3685","3690"
272,315,5224,"3688","3683;3685","3690"
273,736,5224,"3688","3683;3685","3690"
274,318,5224,"3688","3683;3685","3690"
275,319,5224,"3688","3685","3690"
276,738,5224,"3688","3685","3690"
277,322,5224,"3688","3683;3685","3690"
