"NS_PE_ID","NS_HABI_ID","CO_PE_ETAB","TE_OPTION","NS_OBJ_ACA_ID_APP"
1,603,USL001,Bachelier en philosophie,3393
2,604,USL002,"Bachelier en langues et lettres françaises et romanes, orientation générale",3393
3,605,USL003,"Bachelier en langues et lettres modernes, orientation germaniques",3393
4,606,USL004,Bachelier en traduction et interprétation,3393
6,608,USL006,Bachelier en histoire,3393
7,609,USL007,Bachelier en information et communication,3393
8,610,USL008,Bachelier en information et communication,3393
9,611,USL009,Bachelier en information et communication,3393
10,612,USL010,"Bachelier en sciences politiques, orientation générale",3393
11,613,USL011,"Bachelier en sciences politiques, orientation générale",3393
12,614,USL012,"Bachelier en sciences politiques, orientation générale",3393
13,615,USL013,"Bachelier en sciences politiques, orientation générale",3393
14,616,USL014,Bachelier en sociologie et anthropologie,3393
15,617,USL015,Bachelier en sociologie et anthropologie,3393
16,618,USL016,Bachelier en sociologie et anthropologie,3393
17,619,USL017,Bachelier en droit,3393
18,620,USL018,Bachelier en droit,3393
19,621,USL019,Bachelier en droit,3393
20,622,USL020,Bachelier en droit,3393
21,623,USL021,Bachelier en droit,3393
22,624,USL022,Bachelier en ingénieur de gestion,3393
23,625,USL023,Bachelier en ingénieur de gestion,3393
24,626,USL024,Bachelier en ingénieur de gestion,3393
25,627,USL025,Bachelier en sciences économiques et de gestion,3393
26,628,USL026,Bachelier en sciences économiques et de gestion,3393
27,629,USL027,Bachelier en sciences économiques et de gestion,3393
28,630,USL028,Master de spécialisation en gestion des risques financiers,3393
29,317,ULB001,Bachelier en philosophie,3393
30,318,ULB002,"Master en philosophie, à finalité approfondie",3393
31,318,ULB003,"Master en philosophie, à finalité didactique",3393
32,319,ULB004,"Master en éthique, à finalité spécialisée",3393
34,320,ULB006,"Master en sciences des religions et de la laïcité, à finalité spécialisée assistance morale laïque",3393
35,320,ULB007,"Master en sciences des religions et de la laïcité, à finalité spécialisée Analyse du fait religieux",3393
36,321,ULB008,"Bachelier en langues et lettres françaises et romanes, orientation générale",3393
37,322,ULB009,"Master en langues et lettres françaises et romanes, orientation générale, à finalité didactique",3393
38,322,ULB010,"Master en langues et lettres françaises et romanes, orientation générale, à finalité spécialisée Monde du livre et de l'édition",3393
39,322,ULB011,"Master en langues et lettres françaises et romanes, orientation générale, à finalité spécialisée Français langue étrangère",3393
40,322,ULB012,"Master en langues et lettres françaises et romanes, orientation générale, à finalité spécialisée Troisième langue romane",3393
44,323,ULB016,"Master en langues et lettres françaises et romanes, orientation français langue étrangère, à finalité didactique",3393
45,324,ULB017,"Bachelier en langues et lettres modernes, orientation générale",3393
46,325,ULB018,"Master en langues et lettres modernes, orientation générale, à finalité didactique",3393
47,325,ULB019,"Master en langues et lettres modernes, orientation générale, à finalité spécialisée Troisième langue",3393
48,325,ULB020,"Master en langues et lettres modernes, orientation générale, à finalité spécialisée Etudes nord-américaines",3393
49,325,ULB021,"Master en langues et lettres modernes, orientation générale, à finalité spécialisée Contacts linguistiques",3393
51,326,ULB023,"Bachelier en langues et lettres modernes, orientation germaniques",3393
52,327,ULB024,"Master en langues et lettres modernes, orientation germaniques, à finalité didactique",3393
53,327,ULB025,"Master en langues et lettres modernes, orientation germaniques, à finalité spécialisée Troisième langue",3393
54,327,ULB026,"Master en langues et lettres modernes, orientation germaniques, à finalité spécialisée européenne en Langues et cultures d'Europe centrale",3393
55,327,ULB027,"Master en langues et lettres modernes, orientation germaniques, à finalité spécialisée Etudes nord-américaines",3393
56,328,ULB028,"Bachelier en langues et lettres modernes, orientation slaves",3393
57,329,ULB029,"Master en langues et lettres modernes, orientation slaves, à finalité spécialisée Perfectionnement en langue slave",3393
58,329,ULB030,"Master en langues et lettres modernes, orientation slaves, à finalité spécialisée Russe",3393
59,329,ULB031,"Master en langues et lettres modernes, orientation slaves, à finalité spécialisée européenne en Langues et cultures d'Europe centrale",3393
60,330,ULB032,"Bachelier en langues et lettres modernes, orientation orientales",3393
64,332,ULB036,Bachelier en traduction et interprétation,3393
65,333,ULB037,"Master en interprétation, à finalité spécialisée",3393
67,334,ULB039,"Master en traduction, à finalité spécialisée Relations internationales et traduction multidisciplinaire",3393
68,334,ULB040,"Master en traduction, à finalité spécialisée Industrie de la langue",3393
69,334,ULB041,"Master en traduction, à finalité spécialisée Traduction littéraire",3393
70,335,ULB042,"Master en linguistique, à finalité spécialisée",3393
71,336,ULB043,"Bachelier en langues et lettres anciennes, orientation classiques",3393
72,337,ULB044,"Master en langues et lettres anciennes, orientation classiques, à finalité didactique",3393
73,337,ULB045,"Master en langues et lettres anciennes, orientation classiques, à finalité spécialisée Monde du livre et de l'édition",3393
74,337,ULB046,"Master en langues et lettres anciennes, orientation classiques, à finalité spécialisée Langue moderne : italien",3393
75,337,ULB047,"Master en langues et lettres anciennes, orientation classiques, à finalité spécialisée Langue moderne : grec",3393
76,338,ULB048,"Master en langues et lettres anciennes, orientation orientales, à finalité approfondie",3393
77,339,ULB049,Master de spécialisation en langues et civilisations africaines,3393
78,340,ULB050,Bachelier en histoire,3393
79,341,ULB051,"Master en histoire, à finalité didactique",3393
80,341,ULB052,"Master en histoire, à finalité spécialisée archives et documents",3393
82,341,ULB054,"Master en histoire, à finalité spécialisée histoire et administrations",3393
83,342,ULB055,"Bachelier en histoire de l'art et archéologie, orientation générale",3393
84,343,ULB056,"Master en histoire de l'art et archéologie, orientation générale, à finalité didactique",3393
85,343,ULB057,"Master en histoire de l'art et archéologie, orientation générale, à finalité spécialisée musées et conservation du patrimoine mobilier",3393
86,343,ULB058,"Master en histoire de l'art et archéologie, orientation générale, à finalité spécialisée pratique de l'archéologie",3393
87,343,ULB059,"Master en histoire de l'art et archéologie, orientation générale, à finalité spécialisée européenne en archéologie et arts précolombiens",3393
88,343,ULB060,"Master en histoire de l'art et archéologie, orientation générale, à finalité spécialisée Monde de l'art et culture visuelle",3393
89,344,ULB061,"Bachelier en histoire de l'art et archéologie, orientation musicologie",3393
90,345,ULB062,"Master en histoire de l'art et archéologie, orientation musicologie appliquée",3393
91,345,ULB063,"Master en histoire de l'art et archéologie, orientation musicologie, à finalité didactique",3393
92,346,ULB064,Bachelier en information et communication,3393
96,348,ULB068,"Master en journalisme, à finalité spécialisée journalisme de récit et journalisme d'enquête",3393
97,348,ULB069,"Master en journalisme, à finalité spécialisée journalisme, politique et société en Belgique",3393
98,348,ULB070,"Master en journalisme, à finalité approfondie",3393
99,349,ULB071,"Master en communication, à finalité spécialisée communication corporate et marketing",3393
100,349,ULB072,"Master en communication, à finalité spécialisée communication politique et lobbying",3393
101,349,ULB073,"Master en communication, à finalité approfondie",3393
104,351,ULB076,"Master en communication multilingue, à finalité spécialisée multiculturalité",3393
105,351,ULB077,"Master en communication multilingue, à finalité spécialisée ressources humaines",3393
106,351,ULB078,"Master en communication multilingue, à finalité spécialisée relations internationales",3393
107,352,ULB079,"Master en sciences et technologies de l'information et de la communication, à finalité spécialisée",3393
110,353,ULB082,"Master en gestion des ressources humaines, à finalité spécialisée",3393
111,354,ULB083,Bachelier en sciences humaines et sociales,3393
112,355,ULB084,"Bachelier en sciences politiques, orientation générale",3393
113,356,ULB085,"Master en sciences politiques, orientation générale ",3393
114,357,ULB086,"Master en sciences politiques, orientation générale ",3393
115,358,ULB087,"Master en sciences politiques, orientation générale, à finalité spécialisée",3393
116,359,ULB088,"Master en sciences politiques, orientation relations internationales, à finalité spécialisée mondialisation et politiques publiques",3393
117,359,ULB089,"Master en sciences politiques, orientation relations internationales, à finalité spécialisée sécurité, paix, conflits",3393
118,359,ULB090,"Master en sciences politiques, orientation relations internationales, à finalité spécialisée Monde",3393
119,360,ULB091,"Master en études européennes, à finalité spécialisée",3393
122,361,ULB094,"Master en administration publique, à finalité spécialisée",3393
123,362,ULB095,Bachelier en sociologie et anthropologie,3393
125,363,ULB097,"Master en sociologie, à finalité spécialisée",3393
126,364,ULB098,"Master en anthropologie, à finalité spécialisée",3393
128,365,ULB100,"Master en sciences du travail, à finalité spécialisée",3393
129,366,ULB101,"Master en sciences du travail, à finalité spécialisée organisation et administration du travail",3393
130,365,ULB102,"Master en sciences du travail, à finalité spécialisée gestion de la formation et de la transition professionnelle",3393
131,367,ULB103,"Master en sciences du travail, à finalité spécialisée genre et inégalités",3393
132,366,ULB104,"Master en sciences du travail, à finalité spécialisée Européenne",3393
133,368,ULB105,Master en sciences du travail,3393
134,369,ULB106,"Master en sciences de la population et du développement, à finalité spécialisée",3393
135,370,ULB107,Master de spécialisation en analyse interdisciplinaire de la construction européenne,3393
136,371,ULB108,Master de spécialisation en sociologie-anthropologie,3393
137,372,ULB109,Bachelier en droit ,3393
138,373,ULB110,"Master en droit, à finalité spécialisée droit public et international",3393
139,373,ULB111,"Master en droit, à finalité spécialisée droit économique et social",3393
140,373,ULB112,"Master en droit, à finalité spécialisée droit civil et pénal",3393
142,375,ULB114,Master de spécialisation en droit européen,3393
143,376,ULB115,Master de spécialisation en droit fiscal,3393
144,377,ULB116,Master de spécialisation en droit international,3393
145,378,ULB117,Master de spécialisation en droit social,3393
146,379,ULB118,Master de spécialisation en notariat,3393
147,380,ULB119,"Master en criminologie, à finalité approfondie",3393
148,380,ULB120,"Master en criminologie, à finalité spécialisée",3393
149,381,ULB121,Bachelier en ingénieur de gestion,3393
150,382,ULB122,"Master en ingénieur de gestion, à finalité spécialisée",3393
151,383,ULB123,"Bachelier en sciences économiques, orientation générale",3393
153,384,ULB125,"Master en sciences économiques, orientation générale, à finalité spécialisée Economic Analysis and European Policy",3393
154,384,ULB126,"Master en sciences économiques, orientation générale, à finalité spécialisée Management Science",3393
155,384,ULB127,"Master en sciences économiques, orientation générale, à finalité spécialisée Business Economics",3393
156,385,ULB128,"Master en sciences économiques, orientation économétrie, à finalité spécialisée Research in Economics",3393
157,385,ULB129,"Master en sciences économiques, orientation économétrie, à finalité spécialisée Research in Economics and Statistics",3393
158,386,ULB130,"Master en sciences de gestion, à finalité spécialisée",3393
159,387,ULB131,"Master en gestion culturelle, à finalité spécialisée",3393
161,389,ULB133,Master de spécialisation en microfinance,3393
162,390,ULB134,"Bachelier en sciences psychologiques et de l'éducation, orientation générale",3393
163,391,ULB135,"Bachelier en sciences psychologiques et de l'éducation, orientation logopédie",3393
164,392,ULB136,"Master en sciences de l'éducation, à finalité approfondie",3393
165,393,ULB137,"Master en sciences de l'éducation, à finalité spécialisée",3393
166,394,ULB138,"Master en logopédie, à finalité spécialisée",3393
167,395,ULB139,"Master en sciences psychologiques, à finalité approfondie",3393
168,395,ULB140,"Master en sciences psychologiques, à finalité spécialisée neuropsychologie et développement cognitif",3393
169,395,ULB141,"Master en sciences psychologiques, à finalité spécialisée Psychologie clinique et psychopathologie",3393
170,395,ULB142,"Master en sciences psychologiques, à finalité spécialisée Psychologie sociale et interculturelle",3393
171,395,ULB143,"Master en sciences psychologiques, à finalité spécialisée Psychologie du travail, psychologie économique et des organisations",3393
172,396,ULB144,Bachelier en médecine,3393
173,397,ULB145,"Médecin, à finalité spécialisée ",3393
174,398,ULB146,Master de spécialisation en anatomie pathologique,3393
175,399,ULB147,Master de spécialisation en anesthésie-réanimation,3393
176,400,ULB148,Master de spécialisation en biologie clinique,3393
177,401,ULB149,Master de spécialisation en cardiologie,3393
178,402,ULB150,Master de spécialisation en chirurgie,3393
179,403,ULB151,Master de spécialisation en chirurgie orthopédique,3393
180,404,ULB152,"Master de spécialisation en chirurgie plastique, reconstructrice et esthétique",3393
181,405,ULB153,Master de spécialisation en dermato-vénéréologie (4 ans),3393
182,406,ULB154,Master de spécialisation en dermato-vénéréologie (3 ans),3393
183,407,ULB155,Master de spécialisation en gastro-entérologie,3393
184,408,ULB156,Master de spécialisation en gériatrie,3393
185,409,ULB157,Master de spécialisation en gynécologie-obstétrique,3393
186,410,ULB158,Master de spécialisation en médecine aigüe,3393
187,411,ULB159,Master de spécialisation en médecine d'urgence,3393
188,412,ULB160,Master de spécialisation en médecine interne,3393
190,414,ULB162,Master de spécialisation en médecine générale (3 ans),3393
191,415,ULB163,Master de spécialisation en médecine légale,3393
192,416,ULB164,Master de spécialisation en médecine nucléaire,3393
193,417,ULB165,Master de spécialisation en médecine physique et en réadaptation,3393
194,418,ULB166,Master de spécialisation en médecine du travail,3393
