NS_SA_ID,CO_ANNEE_ETUDES,PRIMAIRE_SELECT,PRIM_CONNAIT_ECOL_SECOND,1E_SECOND_SELECT,2E_SECOND_SELECT,3E_SECOND_SELECT,4E_SECOND_SELECT ,5E_SECOND_SELECT ,6E_SECOND_SELECT ,7E_SECOND_SELECT ,1E_CONNAIT_CHOIX_3E,1E_OBTENIR_CEB,2E_EXERC_METIER_FIN_SECOND,2E_TMP_PARTIEL_ECOL_ENTREPR,2E_ORIENT_ENSEIGN_GEN,2E_ORIENT_ENSEIGN_TECH_PRO,2E_PAS_CEB,3E_CHANG_OPT_FILIERE,3E_EXERC_METIER_FIN_SECOND,3E_REORIENT_FIN_3E,3E_TMP_PARTIEL_ECOL_ENTREPR,4E_CHANG_OPT_FILIERE,4E_EXERC_METIER_FIN_SECOND,4E_REORIENT_FIN_4E,4E_TMP_PART_ECOL_ENTREP,5E_CONNAIT_DIFF_POSS_SUP,5E_CONNAIT_HECOL_UNIV_PLAIT_M,5E_DECOUV_METIER_MOND_TRAV,6E_CONNAIT_APPORT_7E,6E_CONNAIT_DIFF_BACH_MSTR,6E_CONNAIT_DIFF_HECOL_UNIV,6E_CONNAIT_DIFF_POSS_SUP,6E_CONNAIT_ECOL_OFFRE_7E,6E_CONNAIT_HECOL_UNIV_PLAIT_M,6E_REAL_PROJ_ETRANG_FIN_6E,7E_CONNAIT_DIFF_BACH_MSTR,7E_CONNAIT_DIFF_HECOL_UNIV,7E_CONNAIT_HECOL_UNIV_MAT_M,7E_REAL_PROJ_FIN_7E,PRESA_MDR,PRIM_CONNAIT_ECOL_SECOND,PRIM_CONNAIT_OPT_SRT_ENSEIGN_SECOND,PRIM_INFO_VIE_SECOND,PRIM_TEMOIGN_VIE_SECOND,PRIMAIRE
ns_sa_id,co_annee_etudes,primaire_select,prim_connait_ecol_second,1e_second_select,2e_second_select,3e_second_select,4e_second_select ,5e_second_select ,6e_second_select ,7e_second_select ,1e_connait_choix_3e,1e_obtenir_ceb,2e_exerc_metier_fin_second,2e_tmp_partiel_ecol_entrepr,2e_orient_enseign_gen,2e_orient_enseign_tech_pro,2e_pas_ceb,3e_chang_opt_filiere,3e_exerc_metier_fin_second,3e_reorient_fin_3e,3e_tmp_partiel_ecol_entrepr,4e_chang_opt_filiere,4e_exerc_metier_fin_second,4e_reorient_fin_4e,4e_tmp_part_ecol_entrep,5e_connait_diff_poss_sup,5e_connait_hecol_univ_plait_m,5e_decouv_metier_mond_trav,6e_connait_apport_7e,6e_connait_diff_bach_mstr,6e_connait_diff_hecol_univ,6e_connait_diff_poss_sup,6e_connait_ecol_offre_7e,6e_connait_hecol_univ_plait_m,6e_real_proj_etrang_fin_6e,7e_connait_diff_bach_mstr,7e_connait_diff_hecol_univ,7e_connait_hecol_univ_mat_m,7e_real_proj_fin_7e,presa_mdr,prim_connait_ecol_second,prim_connait_opt_srt_enseign_second,prim_info_vie_second,prim_temoign_vie_second,primaire
193385,1 D2 3 AQ,primaire_select,prim_connait_ecol_second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193387,1 D2 3 AQ,primaire_select,prim_connait_ecol_second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193389,1 D2 3 AQ,primaire_select,prim_connait_ecol_second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193391,1 D2 3 AQ,primaire_select,prim_connait_ecol_second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180473,1 D2 3 AT,primaire_select,prim_connait_ecol_second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180474,1 D2 3 AT,primaire_select,prim_connait_ecol_second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180475,1 D2 3 AT,primaire_select,prim_connait_ecol_second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185603,1 D2 3 AT,primaire_select,prim_connait_ecol_second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185604,1 D2 3 AT,primaire_select,prim_connait_ecol_second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
