NS_SA_ID,PRIMAIRE_SELECT,PRIM_CONNAIT_ECOL_SECOND,CO_ANNEE_ETUDES
228955,primaire_select,prim_connait_ecol_second,R DQ 6 P
230388,primaire_select,prim_connait_ecol_second,R DQ 6 P
230462,primaire_select,prim_connait_ecol_second,R DQ 6 P
230579,primaire_select,prim_connait_ecol_second,R DQ 6 P
230580,primaire_select,prim_connait_ecol_second,R DQ 6 P
230581,primaire_select,prim_connait_ecol_second,R DQ 6 P
230582,primaire_select,prim_connait_ecol_second,R DQ 6 P
230583,primaire_select,prim_connait_ecol_second,R DQ 6 P
230584,primaire_select,prim_connait_ecol_second,R DQ 6 P
230585,primaire_select,prim_connait_ecol_second,R DQ 6 P
230586,primaire_select,prim_connait_ecol_second,R DQ 6 P
230588,primaire_select,prim_connait_ecol_second,R DQ 6 P
230589,primaire_select,prim_connait_ecol_second,R DQ 6 P
230590,primaire_select,prim_connait_ecol_second,R DQ 6 P
230591,primaire_select,prim_connait_ecol_second,R DQ 6 P
230592,primaire_select,prim_connait_ecol_second,R DQ 6 P
230595,primaire_select,prim_connait_ecol_second,R DQ 6 P
230597,primaire_select,prim_connait_ecol_second,R DQ 6 P
230598,primaire_select,prim_connait_ecol_second,R DQ 6 P
230599,primaire_select,prim_connait_ecol_second,R DQ 6 P
230600,primaire_select,prim_connait_ecol_second,R DQ 6 P
230601,primaire_select,prim_connait_ecol_second,R DQ 6 P
230602,primaire_select,prim_connait_ecol_second,R DQ 5 TQ
230603,primaire_select,prim_connait_ecol_second,R DQ 5 P
230604,primaire_select,prim_connait_ecol_second,R DQ 5 P
230605,primaire_select,prim_connait_ecol_second,R DQ 5 P
230606,primaire_select,prim_connait_ecol_second,R DQ 5 P
230623,primaire_select,prim_connait_ecol_second,R DQ 5 P
230624,primaire_select,prim_connait_ecol_second,R DQ 5 P
230625,primaire_select,prim_connait_ecol_second,R DQ 5 P
230626,primaire_select,prim_connait_ecol_second,R DQ 5 P
230627,primaire_select,prim_connait_ecol_second,R DQ 5 P
230628,primaire_select,prim_connait_ecol_second,R DQ 5 P
230629,primaire_select,prim_connait_ecol_second,R DQ 5 P
230630,primaire_select,prim_connait_ecol_second,R DQ 5 P
230631,primaire_select,prim_connait_ecol_second,R DQ 5 P
230632,primaire_select,prim_connait_ecol_second,R DQ 5 P
230633,primaire_select,prim_connait_ecol_second,R DQ 5 P
230634,primaire_select,prim_connait_ecol_second,R DQ 5 P
230635,primaire_select,prim_connait_ecol_second,R DQ 5 P
230636,primaire_select,prim_connait_ecol_second,R DQ 5 P
230637,primaire_select,prim_connait_ecol_second,R DQ 5 P
230638,primaire_select,prim_connait_ecol_second,R DQ 5 P
230639,primaire_select,prim_connait_ecol_second,R DQ 5 P
230640,primaire_select,prim_connait_ecol_second,R DQ 5 P
230641,primaire_select,prim_connait_ecol_second,R DQ 4 P
230642,primaire_select,prim_connait_ecol_second,R DQ 4 P
230686,primaire_select,prim_connait_ecol_second,R DQ 4 P
230691,primaire_select,prim_connait_ecol_second,R DQ 4 P
230891,primaire_select,prim_connait_ecol_second,R DQ 4 P
230892,primaire_select,prim_connait_ecol_second,R DQ 4 P
230895,primaire_select,prim_connait_ecol_second,R DQ 4 P
230896,primaire_select,prim_connait_ecol_second,R DQ 4 P
230929,primaire_select,prim_connait_ecol_second,R DQ 4 P
231070,primaire_select,prim_connait_ecol_second,R DQ 4 P
231087,primaire_select,prim_connait_ecol_second,R DQ 4 P
231089,primaire_select,prim_connait_ecol_second,R DQ 4 P
231103,primaire_select,prim_connait_ecol_second,R DQ 4 P
231104,primaire_select,prim_connait_ecol_second,R DQ 4 P
231112,primaire_select,prim_connait_ecol_second,R DQ 4 P
231114,primaire_select,prim_connait_ecol_second,R DQ 4 P
231115,primaire_select,prim_connait_ecol_second,R DQ 4 P
231117,primaire_select,prim_connait_ecol_second,R DQ 4 P
231118,primaire_select,prim_connait_ecol_second,R DQ 4 P
231120,primaire_select,prim_connait_ecol_second,R DQ 4 P
231121,primaire_select,prim_connait_ecol_second,R DQ 4 P
231129,primaire_select,prim_connait_ecol_second,R DQ 4 P
231130,primaire_select,prim_connait_ecol_second,R DQ 4 P
231136,primaire_select,prim_connait_ecol_second,R DQ 4 P
231137,primaire_select,prim_connait_ecol_second,R DQ 4 P
231145,primaire_select,prim_connait_ecol_second,R DQ 4 P
231152,primaire_select,prim_connait_ecol_second,R DQ 4 P
231160,primaire_select,prim_connait_ecol_second,R DQ 4 P
231166,primaire_select,prim_connait_ecol_second,R DQ 4 P
231168,primaire_select,prim_connait_ecol_second,R DQ 4 P
231170,primaire_select,prim_connait_ecol_second,R DQ 4 P
231171,primaire_select,prim_connait_ecol_second,R DQ 4 P
231207,primaire_select,prim_connait_ecol_second,R DQ 4 P
231216,primaire_select,prim_connait_ecol_second,R DQ 4 P
231222,primaire_select,prim_connait_ecol_second,R DQ 4 P
231292,primaire_select,prim_connait_ecol_second,R DQ 4 P
231300,primaire_select,prim_connait_ecol_second,R DQ 4 P
231301,primaire_select,prim_connait_ecol_second,R DQ 4 P
231302,primaire_select,prim_connait_ecol_second,R DQ 4 P
231307,primaire_select,prim_connait_ecol_second,R DQ 4 P
231308,primaire_select,prim_connait_ecol_second,R DQ 4 P
231309,primaire_select,prim_connait_ecol_second,R DQ 4 P
231313,primaire_select,prim_connait_ecol_second,R DQ 4 P
231314,primaire_select,prim_connait_ecol_second,R DQ 4 P
231317,primaire_select,prim_connait_ecol_second,R DQ 4 P
231318,primaire_select,prim_connait_ecol_second,R DQ 4 P
231443,primaire_select,prim_connait_ecol_second,R DQ 4 P
231444,primaire_select,prim_connait_ecol_second,R DQ 4 P
231460,primaire_select,prim_connait_ecol_second,R D3 P 45
