AE_CODE,DT_DEBUT,NS_ETAB_ID,CP_LOC_COM_IMPL,DT_FIN,NOM_ETAB,AE_OBJ_ID,TELEPHONE_ETAB,PROV_ETAB,TE_LIBL_CRT,DGSP_OBJ_ID,URL_ETAB,NUMERO_FASE_ETAB,CO_UNI_ID,AE_NOM,ADRS_IMPL,_version_,CO_ETUDE_ID,RESEAU,id
1 D1 1D,2014-09-01,29,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,Institut des Soeurs de Notre-Dame,97,02-521 04 41,BRUXELLES-CAPITALE,1 D1 1D,46,,29,112,Type 1 premier degré première année différenciée,"Rue de Veeweyde 40 ",1732987698337021952,GT11D,Libre confessionnel,29
1 D1 1D,2014-09-01,30,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,INSTITUT NOTRE-DAME,97,02-522 18 73,BRUXELLES-CAPITALE,1 D1 1D,46,,30,112,Type 1 premier degré première année différenciée,"Rue Jorez 8A ",1732987698338070530,GT11D,Libre confessionnel,30
1 D1 1D,2014-09-01,31,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,ECOLE SECONDAIRE THEO LAMBERT,97,02-521 91 45,BRUXELLES-CAPITALE,1 D1 1D,46,,31,112,Type 1 premier degré première année différenciée,"Av Victor et Jules Bertaux 45 ",1732987698339119104,GT11D,Subventionné communal,31
1 D1 1D,2014-09-01,33,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,ATHENEE ROYAL LEONARDO DA VINCI,97,02-526 83 83,BRUXELLES-CAPITALE,1 D1 1D,46,,33,112,Type 1 premier degré première année différenciée,"Rue Chomé-Wyns 5 ",1732987698339119106,GT11D,WBE,33
1 D1 1D,2014-09-01,35,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,INSTITUT COMMUNAL MARIUS RENARD,97,02-529 44 60,BRUXELLES-CAPITALE,1 D1 1D,46,,35,112,Type 1 premier degré première année différenciée,"Rue Georges Moreau 107 ",1732987698339119108,GT11D,Subventionné communal,35
1 D1 1D,2014-09-01,37,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,INSTITUT MARIE IMMACULEE,97,02-521 63 25,BRUXELLES-CAPITALE,1 D1 1D,46,,37,112,Type 1 premier degré première année différenciée,"Rue des Résédas 51 ",1732987698341216258,GT11D,Libre confessionnel,37
1 D1 1D,2014-09-01,38,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,Institut Redouté-Peiffer,97,02-526 75 00,BRUXELLES-CAPITALE,1 D1 1D,46,,38,112,Type 1 premier degré première année différenciée,"Avenue Emile Gryson 1 ",1732987698342264833,GT11D,COCOF,38
1 D1 1D,2018-09-01,40,1030 - SCHAERBEEK - SCHAERBEEK,9999-12-31,INSTITUT DE LA PROVIDENCE,97,02-523 01 82,BRUXELLES-CAPITALE,1 D1 1D,46,,40,112,Type 1 premier degré première année différenciée,"Rue de la Poste 262 ",1732987698343313410,GT11D,Libre confessionnel,40
1 D1 1C,2014-09-01,60,1170 - WATERMAEL-BOITSFORT - WATERMAEL-BOITSFORT,9999-12-31,ATHENEE ROYAL D'AUDERGHEM,93,02-663 17 02,BRUXELLES-CAPITALE,1 D1 1C,45,,60,112,Type 1 premier degré première année commune,"Rue de la Bergerette  ",1732987698343313412,GT11C,WBE,60
1 D1 1D,2014-09-01,61,1160 - AUDERGHEM - AUDERGHEM,9999-12-31,INSTITUT SAINT-JULIEN-PARNASSE,97,02-672 68 01,BRUXELLES-CAPITALE,1 D1 1D,46,,61,112,Type 1 premier degré première année différenciée,"Av de l'Eglise St-Julien 22 ",1732987698344361985,GT11D,Libre confessionnel,61
