DGSP_OBJ_ID,NS_ETAB_ID,1E_OBTENIR_CEB
1 D1 1D                  ,29,1e_obtenir_ceb
1 D1 1D                  ,30,1e_obtenir_ceb
1 D1 1D                  ,31,1e_obtenir_ceb
1 D1 1D                  ,33,1e_obtenir_ceb
1 D1 1D                  ,35,1e_obtenir_ceb
1 D1 1D                  ,37,1e_obtenir_ceb
1 D1 1D                  ,38,1e_obtenir_ceb
1 D1 1D                  ,40,1e_obtenir_ceb
1 D1 1D                  ,60,1e_obtenir_ceb
1 D1 1D                  ,61,1e_obtenir_ceb
1 D1 1D                  ,123,1e_obtenir_ceb
1 D1 1D                  ,124,1e_obtenir_ceb
1 D1 1D                  ,126,1e_obtenir_ceb
1 D1 1D                  ,127,1e_obtenir_ceb
1 D1 1D                  ,128,1e_obtenir_ceb
1 D1 1D                  ,129,1e_obtenir_ceb
1 D1 1D                  ,130,1e_obtenir_ceb
1 D1 1D                  ,132,1e_obtenir_ceb
1 D1 1D                  ,133,1e_obtenir_ceb
1 D1 1D                  ,134,1e_obtenir_ceb
1 D1 1D                  ,138,1e_obtenir_ceb
1 D1 1D                  ,139,1e_obtenir_ceb
1 D1 1D                  ,140,1e_obtenir_ceb
1 D1 1D                  ,141,1e_obtenir_ceb
1 D1 1D                  ,142,1e_obtenir_ceb
1 D1 1D                  ,143,1e_obtenir_ceb
1 D1 1D                  ,144,1e_obtenir_ceb
1 D1 1D                  ,145,1e_obtenir_ceb
1 D1 1D                  ,152,1e_obtenir_ceb
1 D1 1D                  ,185,1e_obtenir_ceb
1 D1 1D                  ,208,1e_obtenir_ceb
1 D1 1D                  ,209,1e_obtenir_ceb
1 D1 1D                  ,210,1e_obtenir_ceb
1 D1 1D                  ,212,1e_obtenir_ceb
1 D1 1D                  ,213,1e_obtenir_ceb
1 D1 1D                  ,214,1e_obtenir_ceb
1 D1 1D                  ,222,1e_obtenir_ceb
1 D1 1D                  ,231,1e_obtenir_ceb
1 D1 1D                  ,246,1e_obtenir_ceb
1 D1 1D                  ,249,1e_obtenir_ceb
1 D1 1D                  ,261,1e_obtenir_ceb
1 D1 1D                  ,262,1e_obtenir_ceb
1 D1 1D                  ,263,1e_obtenir_ceb
1 D1 1D                  ,282,1e_obtenir_ceb
1 D1 1D                  ,283,1e_obtenir_ceb
1 D1 1D                  ,286,1e_obtenir_ceb
