AE_CODE,DT_DEBUT,ADRS_ETAB,NS_ETAB_ID,DGSP_CODE,DT_FIN,NOM_ETAB,TELEPHONE_ETAB,PROV_ETAB,DGSP_OBJ_ID,URL_ETAB,FOR_OBJ_ID,NUMERO_FASE_ETAB,AE_NOM,_version_,TE_INTITULE,RESEAU,CP_LOC_COM_ETAB,id,CO_ANNEE_ETUDES,NS_SA_ID
1 D2 3 G,2014-09-01,Rue de Veeweyde 40 ,29,1 D2 G,9999-12-31,Institut des Soeurs de Notre-Dame,02-521 04 41,BRUXELLES-CAPITALE,49,,39,29,Type 1 deuxième degré troisième général transition,"1,73316666749878E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1070 - ANDERLECHT - ANDERLECHT,179883,1 D2 3 G,179883
1 D2 3 G,2014-09-01,Rue de Fiennes 66 ,30,1 D2 G,9999-12-31,INSTITUT NOTRE-DAME,02-522 18 73,BRUXELLES-CAPITALE,49,,39,30,Type 1 deuxième degré troisième général transition,"1,73316666751241E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1070 - ANDERLECHT - ANDERLECHT,179911,1 D2 3 G,179911
1 D2 3 G,2014-09-01,Rue Chomé-Wyns 5 ,33,1 D2 G,9999-12-31,ATHENEE ROYAL LEONARDO DA VINCI,02-526 83 83,BRUXELLES-CAPITALE,49,,39,33,Type 1 deuxième degré troisième général transition,"1,73316666752185E+018",LANGUE MODERNE II ANGLAIS,WBE,1070 - ANDERLECHT - ANDERLECHT,523,1 D2 3 G,523
1 D2 3 P,2014-09-01,Rue Georges Moreau 107 ,35,1 D2 P,9999-12-31,INSTITUT COMMUNAL MARIUS RENARD,02-529 44 60,BRUXELLES-CAPITALE,50,,42,35,Type 1 deuxième degré troisième professionnel qualification,"1,73316666752814E+018",VENTE,Subventionné communal,1070 - ANDERLECHT - ANDERLECHT,179818,1 D2 3 P,179818
1 D2 3 G,2014-09-01,Rue des Résédas 51 ,37,1 D2 G,9999-12-31,INSTITUT MARIE IMMACULEE,02-521 63 25,BRUXELLES-CAPITALE,49,,39,37,Type 1 deuxième degré troisième général transition,"1,73316666753234E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1070 - ANDERLECHT - ANDERLECHT,179840,1 D2 3 G,179840
1 D2 3 P,2014-09-01,Avenue Marius Renard 1 ,38,1 D2 P,9999-12-31,Institut Redouté-Peiffer,02-526 75 00,BRUXELLES-CAPITALE,50,,42,38,Type 1 deuxième degré troisième professionnel qualification,"1,73316666753863E+018",HORTICULTURE ET MAINTENANCE DE MATERIEL,COCOF,1070 - ANDERLECHT - ANDERLECHT,179769,1 D2 3 P,179769
1 D2 3 P,2014-09-01,Rue Haberman 27 ,40,1 D2 P,9999-12-31,INSTITUT DE LA PROVIDENCE,02-523 01 82,BRUXELLES-CAPITALE,50,,42,40,Type 1 deuxième degré troisième professionnel qualification,"1,73316666754492E+018",TRAVAUX DE BUREAU,Libre confessionnel,1070 - ANDERLECHT - ANDERLECHT,179954,1 D2 3 P,179954
1 D2 3 G,2014-09-01,Avenue du Parc de Woluwe 25-27 ,60,1 D2 G,9999-12-31,ATHENEE ROYAL D'AUDERGHEM,02-663 17 02,BRUXELLES-CAPITALE,49,,39,60,Type 1 deuxième degré troisième général transition,"1,73316666755016E+018",EDUCATION ARTISTIQUE : ARTS D'EXPRESSION,WBE,1160 - AUDERGHEM - AUDERGHEM,2102,1 D2 3 G,2102
1 D2 3 G,2014-09-01,Av de l'Eglise St-Julien 22 ,61,1 D2 G,9999-12-31,INSTITUT SAINT-JULIEN-PARNASSE,02-672 68 01,BRUXELLES-CAPITALE,49,,39,61,Type 1 deuxième degré troisième général transition,"1,73316666755436E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1160 - AUDERGHEM - AUDERGHEM,180057,1 D2 3 G,180057
1 D2 3 G,2014-09-01,Boulevard Clovis 40 ,123,1 D2 G,9999-12-31,ATHENEE ADOLPHE MAX,02-740 24 60,BRUXELLES-CAPITALE,49,,39,123,Type 1 deuxième degré troisième général transition,"1,7331666675575E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,1000 - BRUXELLES - BRUXELLES,180118,1 D2 3 G,180118
R D2 3 P,2014-09-01,Rue Marie-Christine 83 ,124,R D2 P,9999-12-31,ATHENEE ROYAL DE LA RIVE GAUCHE,02-427 97 67,BRUXELLES-CAPITALE,53,,42,124,C.E.F.A. deuxième degré troisième professionnel qualification,"1,73316666756065E+018",VENTE,WBE,1020 - BRUXELLES - LAEKEN,875,R D2 3 P,875
1 D2 3 G,2014-09-01,Rue Ernest Allard 49 ,126,1 D2 G,9999-12-31,ATHENEE ROBERT CATTEAU,02-500 72 30,BRUXELLES-CAPITALE,49,,39,126,Type 1 deuxième degré troisième général transition,"1,73316666757113E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,1000 - BRUXELLES - BRUXELLES,180100,1 D2 3 G,180100
1 D2 3 G,2014-09-01,Rue des Riches Claires 30 ,127,1 D2 G,9999-12-31,ATHENEE LEON LEPAGE,02-548 27 10,BRUXELLES-CAPITALE,49,,39,127,Type 1 deuxième degré troisième général transition,"1,73316666758057E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,1000 - BRUXELLES - BRUXELLES,180135,1 D2 3 G,180135
1 D2 3 G,2014-09-01,Rue Belliard 135A ,128,1 D2 G,9999-12-31,Lycée Emile Jacqmain,02-238 52 50,BRUXELLES-CAPITALE,49,,39,128,Type 1 deuxième degré troisième général transition,"1,73316666758267E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,1040 - ETTERBEEK - BRUXELLES,180155,1 D2 3 G,180155
1 D2 3 G,2014-09-01,Rue Reper-Vreven 80 ,129,1 D2 G,9999-12-31,ATHENEE EMILE BOCKSTAEL,02-475 73 00,BRUXELLES-CAPITALE,49,,39,129,Type 1 deuxième degré troisième général transition,"1,73316666758477E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,1020 - BRUXELLES - LAEKEN,180440,1 D2 3 G,180440
1 D2 3 G,2014-09-01,Rue de la Paille 24 ,130,1 D2 G,9999-12-31,LYCEE HENRIETTE DACHSBECK,02-500 85 50,BRUXELLES-CAPITALE,49,,39,130,Type 1 deuxième degré troisième général transition,"1,73316666759001E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,1000 - BRUXELLES - BRUXELLES,180172,1 D2 3 G,180172
1 D2 3 G,2014-09-01,Rue du Marais 113 ,132,1 D2 G,9999-12-31,INSTITUT SAINT-LOUIS,02-209 17 11,BRUXELLES-CAPITALE,49,,39,132,Type 1 deuxième degré troisième général transition,"1,73316666759211E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1000 - BRUXELLES - BRUXELLES,180351,1 D2 3 G,180351
1 D2 3 G,2014-09-01,Avenue Wannecouter 76 ,133,1 D2 G,9999-12-31,LYCEE MARIA ASSUMPTA,02-268 04 13,BRUXELLES-CAPITALE,49,,39,133,Type 1 deuxième degré troisième général transition,"1,7331666675942E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1020 - BRUXELLES - LAEKEN,180396,1 D2 3 G,180396
1 D2 3 G,2014-09-01,Rue de Beyseghem 141 ,134,1 D2 G,9999-12-31,ATHENEE DES PAGODES,02-266 11 50,BRUXELLES-CAPITALE,49,,39,134,Type 1 deuxième degré troisième général transition,"1,7331666675963E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,1120 - BRUXELLES - NEDER-OVER-HEEMBEEK,180457,1 D2 3 G,180457
1 D2 3 G,2014-09-01,Rue Drootbeek 2 ,138,1 D2 G,9999-12-31,COLLEGE LA FRATERNITE,02-426 71 14,BRUXELLES-CAPITALE,49,,39,138,Type 1 deuxième degré troisième général transition,"1,73316666760049E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1020 - BRUXELLES - LAEKEN,180323,1 D2 3 G,180323
1 D2 3 G,2014-09-01,Rue du Marais 65 ,139,1 D2 G,9999-12-31,ATHENEE ROYAL GATTI DE GAMOND,02-2140180,BRUXELLES-CAPITALE,49,,39,139,Type 1 deuxième degré troisième général transition,"1,73316666760469E+018",LANGUE MODERNE II ANGLAIS,WBE,1000 - BRUXELLES - BRUXELLES,122,1 D2 3 G,122
1 D2 3 G,2014-09-01,Rue Marie-Christine 37 ,140,1 D2 G,9999-12-31,ATHENEE ROYAL DE BRUXELLES II,02-425 14 00,BRUXELLES-CAPITALE,49,,39,140,Type 1 deuxième degré troisième général transition,"1,73316666760679E+018",LANGUE MODERNE II ANGLAIS,WBE,1020 - BRUXELLES - LAEKEN,1520,1 D2 3 G,1520
1 D2 3 G,2014-09-01,Rue des Confédérés 70 ,141,1 D2 G,9999-12-31,LYCEE LA RETRAITE,02-736 91 27,BRUXELLES-CAPITALE,49,,39,141,Type 1 deuxième degré troisième général transition,"1,73316666761727E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1000 - BRUXELLES - BRUXELLES,180370,1 D2 3 G,180370
R D3 5 P,2014-09-01,Rue des Capucins 58 ,142,R D3 P,9999-12-31,INSTITUT DIDEROT,02-289 63 00,BRUXELLES-CAPITALE,60,,42,142,C.E.F.A. troisième degré cinquième professionnel qualification,"1,73316666762042E+018",AUXILIAIRE ADMINISTRATIF ET D'ACCUEIL/AUXILIAIRE ADMINISTRATIVE ET D'ACCUEIL,Subventionné communal,1000 - BRUXELLES - BRUXELLES,180229,R D3 5 P,180229
1 D2 3 P,2014-09-01,Rue Alfred Stevens 20 ,143,1 D2 P,9999-12-31,INSTITUT PAUL-HENRI SPAAK,02-423 57 00,BRUXELLES-CAPITALE,50,,42,143,Type 1 deuxième degré troisième professionnel qualification,"1,73316666762356E+018",TRAVAUX DE BUREAU,Subventionné communal,1020 - BRUXELLES - LAEKEN,180290,1 D2 3 P,180290
