AE_CODE,DT_DEBUT,NS_ETAB_ID,DGSP_CODE,DT_FIN,CP_LOC_COM_IMPL,NOM_ETAB,TELEPHONE_ETAB,PROV_ETAB,DGSP_OBJ_ID,URL_ETAB,FOR_OBJ_ID,NUMERO_FASE_ETAB,AE_NOM,ADRS_IMPL,_version_,TE_INTITULE,RESEAU,id,CO_ANNEE_ETUDES,NS_SA_ID
1 D2 3 G,2014-09-01,29,1 D2 G,9999-12-31,1070 - ANDERLECHT - ANDERLECHT,Institut des Soeurs de Notre-Dame,02-521 04 41,BRUXELLES-CAPITALE,49,,39,29,Type 1 deuxième degré troisième général transition,Rue de Veeweyde 40 ,"1,73303307591012E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,179883,1 D2 3 G,179883
1 D2 3 G,2014-09-01,30,1 D2 G,9999-12-31,1070 - ANDERLECHT - ANDERLECHT,INSTITUT NOTRE-DAME,02-522 18 73,BRUXELLES-CAPITALE,49,,39,30,Type 1 deuxième degré troisième général transition,Rue Jorez 8A ,"1,7330330759248E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,179911,1 D2 3 G,179911
1 D2 3 G,2014-09-01,33,1 D2 G,9999-12-31,1070 - ANDERLECHT - ANDERLECHT,ATHENEE ROYAL LEONARDO DA VINCI,02-526 83 83,BRUXELLES-CAPITALE,49,,39,33,Type 1 deuxième degré troisième général transition,Rue Chomé-Wyns 5 ,"1,73303307594157E+018",LANGUE MODERNE II ANGLAIS,WBE,523,1 D2 3 G,523
1 D2 3 P,2014-09-01,35,1 D2 P,9999-12-31,1070 - ANDERLECHT - ANDERLECHT,INSTITUT COMMUNAL MARIUS RENARD,02-529 44 60,BRUXELLES-CAPITALE,50,,42,35,Type 1 deuxième degré troisième professionnel qualification,Rue Georges Moreau 107 ,"1,73303307594577E+018",VENTE,Subventionné communal,179818,1 D2 3 P,179818
1 D2 3 G,2014-09-01,37,1 D2 G,9999-12-31,1070 - ANDERLECHT - ANDERLECHT,INSTITUT MARIE IMMACULEE,02-521 63 25,BRUXELLES-CAPITALE,49,,39,37,Type 1 deuxième degré troisième général transition,Rue des Résédas 51 ,"1,73303307594891E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,179840,1 D2 3 G,179840
1 D2 3 P,2014-09-01,38,1 D2 P,9999-12-31,1070 - ANDERLECHT - ANDERLECHT,Institut Redouté-Peiffer,02-526 75 00,BRUXELLES-CAPITALE,50,,42,38,Type 1 deuxième degré troisième professionnel qualification,Avenue Marius Renard 1 ,"1,73303307596254E+018",HORTICULTURE ET MAINTENANCE DE MATERIEL,COCOF,179769,1 D2 3 P,179769
1 D2 3 P,2014-09-01,40,1 D2 P,9999-12-31,1070 - ANDERLECHT - ANDERLECHT,INSTITUT DE LA PROVIDENCE,02-523 01 82,BRUXELLES-CAPITALE,50,,42,40,Type 1 deuxième degré troisième professionnel qualification,Rue Haberman 27 ,"1,73303307597198E+018",TRAVAUX DE BUREAU,Libre confessionnel,179954,1 D2 3 P,179954
1 D2 3 G,2014-09-01,60,1 D2 G,9999-12-31,1170 - WATERMAEL-BOITSFORT - WATERMAEL-BOITSFORT,ATHENEE ROYAL D'AUDERGHEM,02-663 17 02,BRUXELLES-CAPITALE,49,,39,60,Type 1 deuxième degré troisième général transition,Rue de la Bergerette  ,"1,73303307598981E+018",EDUCATION ARTISTIQUE : ARTS D'EXPRESSION,WBE,2102,1 D2 3 G,2102
1 D2 3 G,2014-09-01,61,1 D2 G,9999-12-31,1160 - AUDERGHEM - AUDERGHEM,INSTITUT SAINT-JULIEN-PARNASSE,02-672 68 01,BRUXELLES-CAPITALE,49,,39,61,Type 1 deuxième degré troisième général transition,Av de l'Eglise St-Julien 22 ,"1,73303307599715E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180057,1 D2 3 G,180057
1 D2 3 G,2014-09-01,123,1 D2 G,9999-12-31,1000 - BRUXELLES - BRUXELLES,ATHENEE ADOLPHE MAX,02-740 24 60,BRUXELLES-CAPITALE,49,,39,123,Type 1 deuxième degré troisième général transition,Boulevard Clovis 40 ,"1,73303307600134E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,180118,1 D2 3 G,180118
R D2 3 P,2014-09-01,124,R D2 P,9999-12-31,1020 - BRUXELLES - LAEKEN,ATHENEE ROYAL DE LA RIVE GAUCHE,02-427 97 67,BRUXELLES-CAPITALE,53,,42,124,C.E.F.A. deuxième degré troisième professionnel qualification,Rue Marie-Christine 83 ,"1,73303307600344E+018",VENTE,WBE,875,R D2 3 P,875
1 D2 3 G,2014-09-01,126,1 D2 G,9999-12-31,1000 - BRUXELLES - BRUXELLES,ATHENEE ROBERT CATTEAU,02-500 72 30,BRUXELLES-CAPITALE,49,,39,126,Type 1 deuxième degré troisième général transition,Rue Ernest Allard 49 ,"1,73303307601602E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,180100,1 D2 3 G,180100
1 D2 3 G,2014-09-01,127,1 D2 G,9999-12-31,1000 - BRUXELLES - BRUXELLES,ATHENEE LEON LEPAGE,02-548 27 10,BRUXELLES-CAPITALE,49,,39,127,Type 1 deuxième degré troisième général transition,Rue des Riches Claires 30 ,"1,73303307602126E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,180135,1 D2 3 G,180135
1 D2 3 G,2014-09-01,128,1 D2 G,9999-12-31,1040 - ETTERBEEK - BRUXELLES,Lycée Emile Jacqmain,02-238 52 50,BRUXELLES-CAPITALE,49,,39,128,Type 1 deuxième degré troisième général transition,Rue Belliard 135A ,"1,73303307602441E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,180155,1 D2 3 G,180155
1 D2 3 G,2014-09-01,129,1 D2 G,9999-12-31,1020 - BRUXELLES - LAEKEN,ATHENEE EMILE BOCKSTAEL,02-475 73 00,BRUXELLES-CAPITALE,49,,39,129,Type 1 deuxième degré troisième général transition,Rue Reper-Vreven 80 ,"1,73303307602651E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,180440,1 D2 3 G,180440
1 D2 3 G,2014-09-01,130,1 D2 G,9999-12-31,1000 - BRUXELLES - BRUXELLES,LYCEE HENRIETTE DACHSBECK,02-500 85 50,BRUXELLES-CAPITALE,49,,39,130,Type 1 deuxième degré troisième général transition,Rue de la Paille 24 ,"1,73303307603175E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,180172,1 D2 3 G,180172
1 D2 3 G,2014-09-01,132,1 D2 G,9999-12-31,1000 - BRUXELLES - BRUXELLES,INSTITUT SAINT-LOUIS,02-209 17 11,BRUXELLES-CAPITALE,49,,39,132,Type 1 deuxième degré troisième général transition,Rue du Marais 113 ,"1,73303307603385E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180351,1 D2 3 G,180351
1 D2 3 G,2014-09-01,133,1 D2 G,9999-12-31,1020 - BRUXELLES - LAEKEN,LYCEE MARIA ASSUMPTA,02-268 04 13,BRUXELLES-CAPITALE,49,,39,133,Type 1 deuxième degré troisième général transition,Avenue Wannecouter 76 ,"1,73303307603594E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180396,1 D2 3 G,180396
1 D2 3 G,2014-09-01,134,1 D2 G,9999-12-31,1120 - BRUXELLES - NEDER-OVER-HEEMBEEK,ATHENEE DES PAGODES,02-266 11 50,BRUXELLES-CAPITALE,49,,39,134,Type 1 deuxième degré troisième général transition,Rue de Beyseghem 141 ,"1,73303307603699E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,180457,1 D2 3 G,180457
1 D2 3 G,2014-09-01,138,1 D2 G,9999-12-31,1020 - BRUXELLES - LAEKEN,COLLEGE LA FRATERNITE,02-426 71 14,BRUXELLES-CAPITALE,49,,39,138,Type 1 deuxième degré troisième général transition,Rue Drootbeek 2 ,"1,73303307604014E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180323,1 D2 3 G,180323
1 D2 3 G,2014-09-01,139,1 D2 G,9999-12-31,1000 - BRUXELLES - BRUXELLES,ATHENEE ROYAL GATTI DE GAMOND,02-2140180,BRUXELLES-CAPITALE,49,,39,139,Type 1 deuxième degré troisième général transition,Rue du Marais 65 ,"1,73303307604643E+018",LANGUE MODERNE II ANGLAIS,WBE,122,1 D2 3 G,122
1 D2 3 G,2014-09-01,140,1 D2 G,9999-12-31,1020 - BRUXELLES - LAEKEN,ATHENEE ROYAL DE BRUXELLES II,02-425 14 00,BRUXELLES-CAPITALE,49,,39,140,Type 1 deuxième degré troisième général transition,Rue Marie-Christine 37 ,"1,73303307604853E+018",LANGUE MODERNE II ANGLAIS,WBE,1520,1 D2 3 G,1520
1 D2 3 G,2014-09-01,141,1 D2 G,9999-12-31,1000 - BRUXELLES - BRUXELLES,LYCEE LA RETRAITE,02-736 91 27,BRUXELLES-CAPITALE,49,,39,141,Type 1 deuxième degré troisième général transition,Rue des Confédérés 70 ,"1,73303307605272E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180370,1 D2 3 G,180370
R D3 5 P,2014-09-01,142,R D3 P,9999-12-31,1000 - BRUXELLES - BRUXELLES,INSTITUT DIDEROT,02-289 63 00,BRUXELLES-CAPITALE,60,,42,142,C.E.F.A. troisième degré cinquième professionnel qualification,Rue des Capucins 58 ,"1,73303307605587E+018",AUXILIAIRE ADMINISTRATIF ET D'ACCUEIL/AUXILIAIRE ADMINISTRATIVE ET D'ACCUEIL,Subventionné communal,180229,R D3 5 P,180229
1 D2 3 P,2014-09-01,143,1 D2 P,9999-12-31,1020 - BRUXELLES - LAEKEN,INSTITUT PAUL-HENRI SPAAK,02-423 57 00,BRUXELLES-CAPITALE,50,,42,143,Type 1 deuxième degré troisième professionnel qualification,Rue Gustave Demanet 84 ,"1,73303307606111E+018",TRAVAUX DE BUREAU,Subventionné communal,180290,1 D2 3 P,180290
