NS_ETAB_ID,CO_ETUDE_ID,TE_LM,CO_VALEUR,DT_DEBUT,DT_FIN,SW_LM_1,SW_LM_2,SW_LM_3,SW_LM_1_OBG,SW_LM_2_OBG,SW_LM_3_OBG
29,GT11C,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
29,GT11D,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
29,GT12C,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
29,GT12S,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
29,GT2D ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
29,GT21 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
29,GT21 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
29,GT22 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
29,GT22 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
29,GT31 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
29,GT31 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
29,GT32 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
29,GT32 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
29,TQ3C ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
29,TQ31 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
29,TQ32 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
29,TQ33 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
29,TT21 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
29,TT22 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
29,TT31 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
29,TT32 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
30,GT11C,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
30,GT11D,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
30,GT12C,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
30,GT12S,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
30,GT2D ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
30,GT21 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
30,GT21 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
30,GT22 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
30,GT22 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
30,GT31 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
30,GT31 ,Espagnol,ES,2014-09-01,9999-12-31,N,N,O,N,N,N
30,GT31 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
30,GT32 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
30,GT32 ,Espagnol,ES,2014-09-01,9999-12-31,N,N,O,N,N,N
30,GT32 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
30,GT33L,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
30,GT33L,Espagnol,ES,2014-09-01,9999-12-31,N,N,O,N,N,N
30,GT33L,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
30,GT33M,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
30,GT33M,Espagnol,ES,2014-09-01,9999-12-31,N,N,O,N,N,N
