RESEAU,NUMERO_FASE_PO,NOM_PO,ADRS_PO,CP_LOC_COM_PO,NUMERO_FASE_ETAB,NOM_ETAB,ADRS_ETAB,CP_LOC_COM_ETAB,PROV_ETAB,CARACTERE,CONFESSION,QUALITE_DIRECTEUR_ETAB,NOM_DIRECTEUR_ETAB,PRENOM_DIRECTEUR_ETAB,NUMERO_FASE_IMPL,DT_DEBUT,DT_FIN,NOM_IMPL,ADRS_IMPL,CP_LOC_COM_IMPL,UNITE,NUMERO_FASE_IMPL_ETAB
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1206,ACADEMIE PROVINCIALE DES METIERS,Bld Président Kennedy 10 ,7000 - MONS - MONS,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Vandenabeele                  ,Alicia                        ,2368,1900-01-01,,2368,Bld Président Kennedy 10 ,7000 - MONS - MONS,Secondaire ordinaire                                        ,2368-1206
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1206,ACADEMIE PROVINCIALE DES METIERS,Bld Président Kennedy 10 ,7000 - MONS - MONS,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Vandenabeele                  ,Alicia                        ,2369,1900-01-01,2007-06-30,2369,Avenue Reine Astrid 50 ,7000 - MONS - MONS,Secondaire ordinaire                                        ,2369-1206
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1206,ACADEMIE PROVINCIALE DES METIERS,Bld Président Kennedy 10 ,7000 - MONS - MONS,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Vandenabeele                  ,Alicia                        ,10380,2015-09-01,,10380,Boulevard Kennedy 10 ,7000 - MONS - MONS,Secondaire CEFA                                             ,10380-1206
Subventionné communal                                       ,1057,Ville de Bruxelles,Boulevard Anspach 6 ,1000 - BRUXELLES - BRUXELLES,179,ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES,Rue du Poinçon 28 ,1000 - BRUXELLES - BRUXELLES,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Madame                                                                                              ,Delcourt                      ,Isabelle                      ,277,1900-01-01,2003-08-31,277,Rue du Poinçon 28 ,1000 - BRUXELLES - BRUXELLES,Secondaire ordinaire                                        ,277-179
Subventionné communal                                       ,1057,Ville de Bruxelles,Boulevard Anspach 6 ,1000 - BRUXELLES - BRUXELLES,179,ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES,Rue du Poinçon 28 ,1000 - BRUXELLES - BRUXELLES,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Madame                                                                                              ,Delcourt                      ,Isabelle                      ,277,2003-08-31,,277,Rue du Poinçon 28 ,1000 - BRUXELLES - BRUXELLES,Secondaire ordinaire                                        ,277-179
Libre non confessionnel                                     ,1622,Ados pilifs,RUE DU NOUVEAU MONDE 61 ,7700 - MOUSCRON - MOUSCRON,95259,Ados Pilifs - Enseignement secondaire spécialisé libre,RUE DU NOUVEAU MONDE 61 ,7700 - MOUSCRON - MOUSCRON,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Didier                        ,Véronique                     ,10089,2011-09-01,,Ados Pilifs,Rue de Heembeek 127 ,1120 - BRUXELLES - NEDER-OVER-HEEMBEEK,Secondaire spécialisé                                       ,10089-95259
Subventionné communal                                       ,1057,Ville de Bruxelles,Boulevard Anspach 6 ,1000 - BRUXELLES - BRUXELLES,123,ATHENEE ADOLPHE MAX,Boulevard Clovis 40 ,1000 - BRUXELLES - BRUXELLES,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Madame                                                                                              ,De Meue                       ,Pascale                       ,190,2000-09-01,,190,Boulevard Clovis 40 ,1000 - BRUXELLES - BRUXELLES,Secondaire ordinaire                                        ,190-123
Subventionné communal                                       ,1044,Commune d'Ixelles,Chaussée d'Ixelles 168 ,1050 - IXELLES - IXELLES,290,ATHENEE COMMUNAL CHARLES JANSSENS                                                                                                                                                                                                                         ,Place de Londres 5 ,1050 - IXELLES - IXELLES,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Madame                                                                                              ,Mortier                       ,Brigitte                      ,474,1900-01-01,,474,Place de Londres 5 ,1050 - IXELLES - IXELLES,Secondaire ordinaire                                        ,474-290
Subventionné communal                                       ,1105,Commune de Schaerbeek,Place Colignon  ,1030 - SCHAERBEEK - SCHAERBEEK,420,ATHENEE COMMUNAL FERNAND BLUM,Avenue Ernest Renan 12 ,1030 - SCHAERBEEK - SCHAERBEEK,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Madame                                                                                              ,Duhem                         ,Anne                          ,771,1900-01-01,,771,Avenue de Roodebeek 59 ,1030 - SCHAERBEEK - SCHAERBEEK,Secondaire ordinaire                                        ,771-420
Subventionné communal                                       ,1105,Commune de Schaerbeek,Place Colignon  ,1030 - SCHAERBEEK - SCHAERBEEK,420,ATHENEE COMMUNAL FERNAND BLUM,Avenue Ernest Renan 12 ,1030 - SCHAERBEEK - SCHAERBEEK,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Madame                                                                                              ,Duhem                         ,Anne                          ,772,1900-01-01,,772,Avenue Ernest Renan 12 ,1030 - SCHAERBEEK - SCHAERBEEK,Secondaire ordinaire                                        ,772-420
