AE_CODE,DT_DEBUT,NS_ETAB_ID,CP_LOC_COM_IMPL,DT_FIN,NOM_ETAB,AE_OBJ_ID,TELEPHONE_ETAB,PROV_ETAB,TE_LIBL_CRT,DGSP_OBJ_ID,URL_ETAB,NUMERO_FASE_ETAB,CO_UNI_ID,AE_NOM,ADRS_IMPL,_version_,CO_ETUDE_ID,RESEAU,id
1 D1 2D,2014-09-01,29,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,Institut des Soeurs de Notre-Dame,98,02-521 04 41,BRUXELLES-CAPITALE,1 D1 2D,46,,29,112,Type 1 premier degré deuxième année différenciée,Rue de Veeweyde 40 ,"1,73297722940142E+018",GT2D ,Libre confessionnel,29
1 D1 2D,2014-09-01,30,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,INSTITUT NOTRE-DAME,98,02-522 18 73,BRUXELLES-CAPITALE,1 D1 2D,46,,30,112,Type 1 premier degré deuxième année différenciée,Rue Jorez 8A ,"1,73297722940247E+018",GT2D ,Libre confessionnel,30
1 D1 2D,2014-09-01,31,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,ECOLE SECONDAIRE THEO LAMBERT,98,02-521 91 45,BRUXELLES-CAPITALE,1 D1 2D,46,,31,112,Type 1 premier degré deuxième année différenciée,Av Victor et Jules Bertaux 45 ,"1,73297722940247E+018",GT2D ,Subventionné communal,31
1 D1 2D,2014-09-01,33,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,ATHENEE ROYAL LEONARDO DA VINCI,98,02-526 83 83,BRUXELLES-CAPITALE,1 D1 2D,46,,33,112,Type 1 premier degré deuxième année différenciée,Rue Chomé-Wyns 5 ,"1,73297722940352E+018",GT2D ,WBE,33
1 D1 2D,2014-09-01,35,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,INSTITUT COMMUNAL MARIUS RENARD,98,02-529 44 60,BRUXELLES-CAPITALE,1 D1 2D,46,,35,112,Type 1 premier degré deuxième année différenciée,Rue Georges Moreau 107 ,"1,73297722940352E+018",GT2D ,Subventionné communal,35
1 D1 2D,2014-09-01,37,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,INSTITUT MARIE IMMACULEE,98,02-521 63 25,BRUXELLES-CAPITALE,1 D1 2D,46,,37,112,Type 1 premier degré deuxième année différenciée,Rue des Résédas 51 ,"1,73297722940457E+018",GT2D ,Libre confessionnel,37
1 D1 2D,2014-09-01,38,1070 - ANDERLECHT - ANDERLECHT,9999-12-31,Institut Redouté-Peiffer,98,02-526 75 00,BRUXELLES-CAPITALE,1 D1 2D,46,,38,112,Type 1 premier degré deuxième année différenciée,Avenue Emile Gryson 1 ,"1,73297722940562E+018",GT2D ,COCOF,38
1 D1 2D,2018-09-01,40,1030 - SCHAERBEEK - SCHAERBEEK,9999-12-31,INSTITUT DE LA PROVIDENCE,98,02-523 01 82,BRUXELLES-CAPITALE,1 D1 2D,46,,40,112,Type 1 premier degré deuxième année différenciée,Rue de la Poste 262 ,"1,73297722940667E+018",GT2D ,Libre confessionnel,40
1 D1 2C,2014-09-01,60,1170 - WATERMAEL-BOITSFORT - WATERMAEL-BOITSFORT,9999-12-31,ATHENEE ROYAL D'AUDERGHEM,94,02-663 17 02,BRUXELLES-CAPITALE,1 D1 2C,45,,60,112,Type 1 premier degré deuxième année commune,Rue de la Bergerette  ,"1,73297722940667E+018",GT12C,WBE,60
1 D1 2D,2014-09-01,61,1160 - AUDERGHEM - AUDERGHEM,9999-12-31,INSTITUT SAINT-JULIEN-PARNASSE,98,02-672 68 01,BRUXELLES-CAPITALE,1 D1 2D,46,,61,112,Type 1 premier degré deuxième année différenciée,Av de l'Eglise St-Julien 22 ,"1,73297722940667E+018",GT2D ,Libre confessionnel,61
1 D1 2D,2014-09-01,123,1000 - BRUXELLES - BRUXELLES,9999-12-31,ATHENEE ADOLPHE MAX,98,02-740 24 60,BRUXELLES-CAPITALE,1 D1 2D,46,,123,112,Type 1 premier degré deuxième année différenciée,Boulevard Clovis 40 ,"1,73297722940772E+018",GT2D ,Subventionné communal,123
1 D1 2D,2014-09-01,124,1020 - BRUXELLES - LAEKEN,9999-12-31,ATHENEE ROYAL DE LA RIVE GAUCHE,98,02-427 97 67,BRUXELLES-CAPITALE,1 D1 2D,46,,124,112,Type 1 premier degré deuxième année différenciée,Rue Marie-Christine 83 ,"1,73297722940772E+018",GT2D ,WBE,124
1 D1 2D,2014-09-01,126,1000 - BRUXELLES - BRUXELLES,9999-12-31,ATHENEE ROBERT CATTEAU,98,02-500 72 30,BRUXELLES-CAPITALE,1 D1 2D,46,,126,112,Type 1 premier degré deuxième année différenciée,Rue Ernest Allard 49 ,"1,73297722940876E+018",GT2D ,Subventionné communal,126
1 D1 2D,2014-09-01,127,1000 - BRUXELLES - BRUXELLES,9999-12-31,ATHENEE LEON LEPAGE,98,02-548 27 10,BRUXELLES-CAPITALE,1 D1 2D,46,,127,112,Type 1 premier degré deuxième année différenciée,Rue des Riches Claires 30 ,"1,73297722940876E+018",GT2D ,Subventionné communal,127
1 D1 2D,2014-09-01,128,1040 - ETTERBEEK - BRUXELLES,9999-12-31,Lycée Emile Jacqmain,98,02-238 52 50,BRUXELLES-CAPITALE,1 D1 2D,46,,128,112,Type 1 premier degré deuxième année différenciée,Rue Belliard 135A ,"1,73297722940876E+018",GT2D ,Subventionné communal,128
1 D1 2D,2014-09-01,129,1150 - WOLUWE-SAINT-PIERRE - WOLUWE-SAINT-PIERRE,9999-12-31,ATHENEE EMILE BOCKSTAEL,98,02-475 73 00,BRUXELLES-CAPITALE,1 D1 2D,46,,129,112,Type 1 premier degré deuxième année différenciée,AVENUE DES CATTLEYAS 59 ,"1,73297722940981E+018",GT2D ,Subventionné communal,129
1 D1 2D,2014-09-01,130,1000 - BRUXELLES - BRUXELLES,9999-12-31,LYCEE HENRIETTE DACHSBECK,98,02-500 85 50,BRUXELLES-CAPITALE,1 D1 2D,46,,130,112,Type 1 premier degré deuxième année différenciée,Rue de la Paille 24 ,"1,73297722940981E+018",GT2D ,Subventionné communal,130
1 D1 2D,2014-09-01,132,1000 - BRUXELLES - BRUXELLES,9999-12-31,INSTITUT SAINT-LOUIS,98,02-209 17 11,BRUXELLES-CAPITALE,1 D1 2D,46,,132,112,Type 1 premier degré deuxième année différenciée,Rue du Marais 113 ,"1,73297722941086E+018",GT2D ,Libre confessionnel,132
1 D1 2D,2014-09-01,133,1020 - BRUXELLES - LAEKEN,9999-12-31,LYCEE MARIA ASSUMPTA,98,02-268 04 13,BRUXELLES-CAPITALE,1 D1 2D,46,,133,112,Type 1 premier degré deuxième année différenciée,Avenue Wannecouter 76 ,"1,73297722941086E+018",GT2D ,Libre confessionnel,133
1 D1 2D,2014-09-01,134,1120 - BRUXELLES - NEDER-OVER-HEEMBEEK,9999-12-31,ATHENEE DES PAGODES,98,02-266 11 50,BRUXELLES-CAPITALE,1 D1 2D,46,,134,112,Type 1 premier degré deuxième année différenciée,Rue de Beyseghem 141 ,"1,73297722941086E+018",GT2D ,Subventionné communal,134
1 D1 2D,2014-09-01,138,1000 - BRUXELLES - BRUXELLES,9999-12-31,COLLEGE LA FRATERNITE,98,02-426 71 14,BRUXELLES-CAPITALE,1 D1 2D,46,,138,112,Type 1 premier degré deuxième année différenciée,Chaussée d'Anvers 28 ,"1,73297722941191E+018",GT2D ,Libre confessionnel,138
1 D1 2C,2014-09-01,139,1000 - BRUXELLES - BRUXELLES,9999-12-31,ATHENEE ROYAL GATTI DE GAMOND,94,02-2140180,BRUXELLES-CAPITALE,1 D1 2C,45,,139,112,Type 1 premier degré deuxième année commune,Rue du Marais 65 ,"1,73297722941191E+018",GT12C,WBE,139
1 D1 2D,2015-09-01,140,1020 - BRUXELLES - LAEKEN,9999-12-31,ATHENEE ROYAL DE BRUXELLES II,98,02-425 14 00,BRUXELLES-CAPITALE,1 D1 2D,46,,140,112,Type 1 premier degré deuxième année différenciée,Rue Marie-Christine 37 ,"1,73297722941191E+018",GT2D ,WBE,140
1 D1 2D,2014-09-01,141,1000 - BRUXELLES - BRUXELLES,9999-12-31,LYCEE LA RETRAITE,98,02-736 91 27,BRUXELLES-CAPITALE,1 D1 2D,46,,141,112,Type 1 premier degré deuxième année différenciée,Rue des Confédérés 70 ,"1,73297722941191E+018",GT2D ,Libre confessionnel,141
1 D1 2D,2014-09-01,142,1000 - BRUXELLES - BRUXELLES,9999-12-31,INSTITUT DIDEROT,98,02-289 63 00,BRUXELLES-CAPITALE,1 D1 2D,46,,142,112,Type 1 premier degré deuxième année différenciée,Rue des Capucins 58 ,"1,73297722941296E+018",GT2D ,Subventionné communal,142
1 D1 2D,2014-09-01,143,1000 - BRUXELLES - BRUXELLES,9999-12-31,INSTITUT PAUL-HENRI SPAAK,98,02-423 57 00,BRUXELLES-CAPITALE,1 D1 2D,46,,143,112,Type 1 premier degré deuxième année différenciée,Boulevard de l'Abattoir 50 ,"1,73297722941715E+018",GT2D ,Subventionné communal,143
1 D1 2D,2014-09-01,144,1020 - BRUXELLES - LAEKEN,9999-12-31,INSTITUT MARIS STELLA,98,02-478 63 95,BRUXELLES-CAPITALE,1 D1 2D,46,,144,112,Type 1 premier degré deuxième année différenciée,Rue Félix Sterckx 44 ,"1,73297722941715E+018",GT2D ,Libre confessionnel,144
1 D1 2D,2014-09-01,145,1000 - BRUXELLES - BRUXELLES,9999-12-31,INSTITUT BISCHOFFSHEIM,98,02-250 07 00,BRUXELLES-CAPITALE,1 D1 2D,46,,145,112,Type 1 premier degré deuxième année différenciée,Rue de la Blanchisserie 52 ,"1,7329772294182E+018",GT2D ,Subventionné communal,145
1 D1 2D,2018-09-01,152,1000 - BRUXELLES - BRUXELLES,9999-12-31,INSTITUT DES ARTS ET METIERS,98,02-279 52 20,BRUXELLES-CAPITALE,1 D1 2D,46,,152,112,Type 1 premier degré deuxième année différenciée,Boulevard de l'Abattoir 50 ,"1,7329772294203E+018",GT2D ,Subventionné communal,152
