NS_SA_ID,NS_ETAB_ID,TE_STRUCTURE,CO_DEGRE_SPEC,CO_ANNEE_ETUDES,CO_OPTION,TE_INTITULE,DT_DEBUT,DT_FIN,DT_EXPIRATION,TE_STATUT,NS_PARAM_ID_SA,NS_OBJ_ID_DEGR_SPEC,NS_OBJ_ID_ANNEE_ETUDE,NS_OBJ_ID_SA,NS_PARAM_ID_STATUT
6,2712,Option de base groupée,R D2 P,R D2 3 P,4117,CUISINE ET SALLE,2014-09-01,9999-12-31,,En cours,6022,53,115,826,6030
8,2712,Option de base groupée,R D2 P,R D2 3 P,7118,VENTE,2014-09-01,9999-12-31,,En cours,6022,53,115,889,6030
21,2712,Option de base groupée,R D3 P,R D3 5 P,7125,VENDEUR/VENDEUSE,2014-09-01,9999-12-31,,En cours,6022,60,138,892,6030
22,2712,Option de base groupée,R D3 P,R D3 7B P,7130,GESTIONNAIRE DE TRES PETITES ENTREPRISES,2014-09-01,9999-12-31,,En cours,6022,60,140,894,6030
30,2712,Option de base simple,1 D2 G,1 D2 3 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1587,6030
31,2712,Option de base simple,1 D2 G,1 D2 3 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1591,6030
35,2712,Option de base groupée,1 D2 P,1 D2 3 P,2315,MECANIQUE POLYVALENTE,2014-09-01,9999-12-31,,En cours,6022,50,107,694,6030
39,2712,Option de base groupée,1 D2 P,1 D2 3 P,4117,CUISINE ET SALLE,2014-09-01,9999-12-31,,En cours,6022,50,107,826,6030
40,2712,Option de base groupée,1 D2 P,1 D2 3 P,7118,VENTE,2014-09-01,9999-12-31,,En cours,6022,50,107,889,6030
41,2712,Option de base groupée,1 D2 P,1 D2 3 P,8108,SERVICES SOCIAUX,2014-09-01,9999-12-31,,En cours,6022,50,107,909,6030
45,2712,Option de base groupée,1 D2 TQ,1 D2 3 TQ,2321,INDUSTRIE GRAPHIQUE,2014-09-01,9999-12-31,,En cours,6022,51,109,696,6030
48,2712,Option de base groupée,1 D2 TQ,1 D2 3 TQ,4111,RESTAURATION,2014-09-01,9999-12-31,,En cours,6022,51,109,824,6030
49,2712,Option de base groupée,1 D2 TQ,1 D2 3 TQ,7110,GESTION,2014-09-01,9999-12-31,,En cours,6022,51,109,888,6030
53,2712,Option de base simple,1 D3 G,1 D3 5 G,2007,LANGUE MODERNE I ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1583,6030
54,2712,Option de base simple,1 D3 G,1 D3 5 G,2008,LANGUE MODERNE I NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1584,6030
55,2712,Option de base simple,1 D3 G,1 D3 5 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1587,6030
56,2712,Option de base simple,1 D3 G,1 D3 5 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1591,6030
60,2712,Option de base simple,1 D3 G,1 D3 5 G,6101,SCIENCES,2014-09-01,9999-12-31,,En cours,6023,56,121,2493,6030
67,2712,Option de base groupée,1 D3 P,1 D3 7B P,3426,COMPLEMENT EN AGENCEMENT D'INTERIEUR,2014-09-01,9999-12-31,,En cours,6022,57,128,809,6030
69,2712,Option de base groupée,1 D3 P,1 D3 7B P,4125,TRAITEUR-ORGANISATEUR/TRAITEUR-ORGANISATRICE DE BANQUETS ET DE RECEPTIONS,2014-09-01,9999-12-31,,En cours,6022,57,128,834,6030
70,2712,Option de base groupée,1 D3 P,1 D3 5 P,7125,VENDEUR/VENDEUSE,2014-09-01,9999-12-31,,En cours,6022,57,126,892,6030
71,2712,Option de base groupée,1 D3 P,1 D3 5 P,8207,PUERICULTURE,2014-09-01,9999-12-31,,En cours,6022,57,126,919,6030
72,2712,Option de base groupée,1 D3 P,1 D3 7B P,8213,PUERICULTEUR/PUERICULTRICE,2014-09-01,9999-12-31,,En cours,6022,57,128,922,6030
77,2712,Option de base groupée,1 D3 TQ,1 D3 5 TQ,6210,TECHNICIEN/TECHNICIENNE EN INFOGRAPHIE,2014-09-01,9999-12-31,,En cours,6022,58,132,869,6030
80,2712,Option de base groupée,1 D3 TQ,1 D3 5 TQ,7124,TECHNICIEN/TECHNICIENNE EN COMPTABILITE,2014-09-01,9999-12-31,,En cours,6022,58,132,891,6030
84,2712,Option de base groupée,1 D3 TT,1 D3 5 TT,8401,EDUCATION PHYSIQUE,2014-09-01,9999-12-31,,En cours,6022,59,136,937,6030
